Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,139.06,,17.88
2024-03-31,132.48,$7.78,17.03
2023-12-31,136.43,$7.91,17.26
2023-09-30,119.9,$7.29,16.44
2023-06-30,128.95,$6.46,19.95
2023-03-31,119.58,$4.83,24.75
2022-12-31,121.09,$4.13,29.31
2022-09-30,114.51,$5.48,20.9
2022-06-30,120.2,$6.14,19.57
2022-03-31,124.84,$5.98,20.87
2021-12-31,129.98,$5.80,22.43
2021-09-30,139.99,$4.34,32.28
2021-06-30,141.38,$4.39,32.23
2021-03-31,132.9,$6.20,21.44
2020-12-31,140.81,$6.57,21.42
2020-09-30,127.7,$6.48,19.69
2020-06-30,129.31,$6.40,20.19
2020-03-31,98.09,$5.62,17.46
2019-12-31,105.28,$5.90,17.84
2019-09-30,95.79,$5.31,18.05
2019-06-30,99.16,$4.76,20.83
2019-03-31,99.52,$4.67,21.33
2018-12-31,77.27,$4.71,16.41
2018-09-30,117.99,$4.32,27.3
2018-06-30,138.09,$4.91,28.14
2018-03-31,118.72,$5.08,23.37
2017-12-31,102.88,$4.39,23.42
2017-09-30,115.61,$5.38,21.47
2017-06-30,103.53,$5.59,18.51
2017-03-31,87.66,$4.63,18.92
2016-12-31,77.13,$5.16,14.96
2016-09-30,83.63,$4.28,19.56
2016-06-30,74.19,$3.94,18.83
2016-03-31,64.74,$4.16,15.57
2015-12-31,67.29,$2.95,22.8
2015-09-30,66.34,$2.23,29.81
2015-06-30,65.12,$2.78,23.44
2015-03-31,57.59,$2.99,19.26
2014-12-31,46.04,$3.31,13.91
2014-09-30,34.87,$3.37,10.33
2014-06-30,35.13,$2.76,12.71
2014-03-31,28.41,$1.95,14.6
2013-12-31,22.46,$1.80,12.51
2013-09-30,25.02,$0.74,33.92
2013-06-30,22.51,$0.67,33.7
2013-03-31,17.33,$0.70,24.89
2012-12-31,14.22,$0.76,18.71
2012-09-30,12.43,$0.99,12.52
2012-06-30,12.09,$0.44,27.58
2012-03-31,16.14,$0.39,41.4
2011-12-31,20.17,$0.37,55.07
2011-09-30,20.03,$0.08,258.39
2011-06-30,23.11,$0.36,63.88
2011-03-31,19.12,$0.79,24.18
2010-12-31,16.04,$0.80,20.1
2010-09-30,16.11,$0.42,38.54
2010-06-30,14.1,$0.81,17.46
2010-03-31,18.27,$0.25,74.22
2009-12-31,17.38,$-0.79,0.0
