UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,136.6,,20.12
2024-03-31,147.0,$6.79,21.65
2023-12-31,153.82,$6.14,25.06
2023-09-30,150.72,$6.65,22.65
2023-06-30,171.75,$7.28,23.59
2023-03-31,184.11,$8.28,22.22
2022-12-31,163.54,$10.73,15.24
2022-09-30,150.64,$11.70,12.87
2022-06-30,168.97,$12.55,13.46
2022-03-31,196.83,$13.61,14.46
2021-12-31,195.31,$13.37,14.61
2021-09-30,165.12,$10.32,16.0
2021-06-30,187.59,$10.08,18.61
2021-03-31,152.6,$8.21,18.59
2020-12-31,150.21,$5.84,25.72
2020-09-30,147.72,$8.01,18.44
2020-06-30,97.94,$5.59,17.53
2020-03-31,81.45,$3.65,22.29
2019-12-31,101.02,$2.67,37.77
2019-09-30,102.61,$3.34,30.72
2019-06-30,87.7,$3.92,22.36
2019-03-31,93.99,$5.38,17.46
2018-12-31,81.33,$7.43,10.94
2018-09-30,96.56,$0.63,154.01
2018-06-30,87.21,$0.09,926.77
2018-03-31,85.25,$-0.54,0.0
2017-12-31,96.23,$-4.26,0.0
2017-09-30,96.28,$0.80,120.56
2017-06-30,88.01,$0.57,155.68
2017-03-31,84.71,$0.76,111.6
2016-12-31,89.81,$4.05,22.15
2016-09-30,85.09,$4.40,19.33
2016-06-30,83.22,$6.19,13.46
2016-03-31,80.86,$5.50,14.7
2015-12-31,73.19,$5.60,13.06
2015-09-30,74.53,$6.02,12.38
2015-06-30,72.67,$6.25,11.63
2015-03-31,72.17,$4.24,17.03
2014-12-31,82.17,$3.73,22.0
2014-09-30,72.2,$4.89,14.76
2014-06-30,74.89,$4.16,18.02
2014-03-31,70.57,$6.38,11.07
2013-12-31,75.62,$5.64,13.42
2013-09-30,65.35,$5.41,12.09
2013-06-30,61.41,$4.89,12.55
2013-03-31,60.57,$4.77,12.7
2012-12-31,51.6,$5.32,9.69
2012-09-30,49.69,$4.93,10.08
2012-06-30,54.28,$5.77,9.4
2012-03-31,55.22,$6.18,8.94
2011-12-31,49.7,$5.14,9.67
2011-09-30,42.56,$3.43,12.4
2011-06-30,48.74,$2.75,17.72
2011-03-31,49.33,$2.35,21.0
2010-12-31,47.84,$2.74,17.45
2010-09-30,43.65,$3.85,11.35
2010-06-30,36.97,$3.62,10.22
2010-03-31,41.56,$3.18,13.06
2009-12-31,36.72,$3.73,9.85
