Travelers Price to Free Cash Flow Ratio Historical Data,Travelers Price to Free Cash Flow Ratio Historical Data,Travelers Price to Free Cash Flow Ratio Historical Data,Travelers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,209.8,,6.01
2024-03-31,229.01,$34.89,6.56
2023-12-31,188.7,$32.92,5.73
2023-09-30,160.89,$29.44,5.47
2023-06-30,170.03,$26.95,6.31
2023-03-31,166.87,$25.90,6.44
2022-12-31,181.55,$26.80,6.77
2022-09-30,147.62,$28.09,5.26
2022-06-30,162.05,$27.83,5.82
2022-03-31,174.14,$29.39,5.93
2021-12-31,148.31,$28.89,5.13
2021-09-30,143.3,$28.64,5.0
2021-06-30,140.35,$28.10,4.99
2021-03-31,140.2,$27.43,5.11
2020-12-31,130.13,$25.16,5.17
2020-09-30,99.67,$24.06,4.14
2020-06-30,104.29,$21.98,4.75
2020-03-31,90.23,$19.71,4.58
2019-12-31,123.51,$19.44,6.35
2019-09-30,133.29,$17.51,7.61
2019-06-30,133.31,$16.33,8.16
2019-03-31,121.62,$16.18,7.52
2018-12-31,105.56,$15.96,6.61
2018-09-30,113.63,$14.80,7.68
2018-06-30,106.55,$14.61,7.29
2018-03-31,120.22,$13.63,8.82
2017-12-31,116.83,$14.68,7.96
2017-09-30,104.96,$17.18,6.11
2017-06-30,107.73,$17.03,6.33
2017-03-31,102.03,$15.31,6.66
2016-12-31,103.05,$15.19,6.78
2016-09-30,95.88,$12.79,7.5
2016-06-30,99.08,$12.35,8.02
2016-03-31,96.58,$12.78,7.56
2015-12-31,92.88,$10.55,8.81
2015-09-30,81.47,$9.68,8.41
2015-06-30,78.64,$9.49,8.28
2015-03-31,87.42,$9.32,9.38
2014-12-31,85.14,$10.69,7.97
2014-09-30,75.17,$11.56,6.5
2014-06-30,74.83,$10.50,7.13
2014-03-31,67.3,$10.49,6.41
2013-12-31,71.18,$9.91,7.18
2013-09-30,66.27,$8.64,7.67
2013-06-30,62.1,$8.10,7.67
2013-03-31,65.02,$7.37,8.82
2012-12-31,55.15,$8.04,6.86
2012-09-30,52.09,$7.73,6.74
2012-06-30,48.38,$6.01,8.04
2012-03-31,44.53,$5.66,7.87
2011-12-31,44.19,$5.00,8.84
2011-09-30,36.13,$5.47,6.6
2011-06-30,42.93,$6.21,6.91
2011-03-31,43.44,$6.63,6.55
2010-12-31,40.44,$6.29,6.43
2010-09-30,37.58,$6.81,5.52
2010-06-30,35.27,$6.49,5.43
2010-03-31,38.34,$7.09,5.41
2009-12-31,35.23,$7.41,4.75
