Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,236.68,,22.98
2024-03-31,242.44,$10.30,23.54
2023-12-31,204.46,$17.82,11.47
2023-09-30,178.7,$16.88,10.59
2023-06-30,190.58,$13.52,14.09
2023-03-31,158.12,$11.79,13.41
2022-12-31,163.14,$9.81,16.63
2022-09-30,132.82,$10.45,12.71
2022-06-30,138.43,$9.81,14.11
2022-03-31,150.92,$13.60,11.1
2021-12-31,129.21,$10.35,12.48
2021-09-30,115.72,$10.69,10.83
2021-06-30,110.51,$12.58,8.79
2021-03-31,113.54,$6.47,17.54
2020-12-31,93.61,$12.84,7.29
2020-09-30,92.43,$9.15,10.1
2020-06-30,95.72,$5.98,16.01
2020-03-31,83.65,$9.29,9.01
2019-12-31,80.01,$8.10,9.87
2019-09-30,77.12,$9.61,8.03
2019-06-30,79.5,$9.48,8.38
2019-03-31,73.77,$10.45,7.06
2018-12-31,68.7,$7.07,9.72
2018-09-30,84.78,$4.92,17.25
2018-06-30,78.05,$8.05,9.69
2018-03-31,78.56,$3.10,25.36
2017-12-31,83.35,$6.95,11.99
2017-09-30,74.76,$4.68,15.96
2017-06-30,85.01,$4.16,20.44
2017-03-31,79.25,$6.05,13.1
2016-12-31,69.74,$6.54,10.67
2016-09-30,71.72,$12.01,5.97
2016-06-30,70.16,$12.84,5.46
2016-03-31,76.21,$16.42,4.64
2015-12-31,90.96,$16.02,5.68
2015-09-30,83.02,$16.95,4.9
2015-06-30,92.68,$14.01,6.61
2015-03-31,98.82,$12.12,8.16
2014-12-31,78.16,$13.43,5.82
2014-09-30,66.79,$5.10,13.1
2014-06-30,62.59,$1.52,41.17
2014-03-31,56.3,$-0.36,0.0
2013-12-31,60.15,$-0.73,0.0
2013-09-30,52.09,$2.49,20.93
2013-06-30,47.25,$4.84,9.75
2013-03-31,43.38,$5.05,8.59
2012-12-31,36.24,$1.83,19.78
2012-09-30,32.32,$4.56,7.08
2012-06-30,32.74,$3.82,8.58
2012-03-31,32.88,$4.22,7.79
2011-12-31,30.72,$5.65,5.44
2011-09-30,30.68,$3.65,8.42
2011-06-30,33.98,$4.19,8.1
2011-03-31,32.38,$4.07,7.95
2010-12-31,27.85,$3.00,9.27
2010-09-30,24.95,$3.25,7.69
2010-06-30,25.76,$2.51,10.28
2010-03-31,23.41,$3.13,7.49
2009-12-31,21.04,$1.82,11.57
