Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,83.06,,6.08
2024-03-31,116.12,$13.67,8.49
2023-12-31,121.23,$14.87,8.15
2023-09-30,108.07,$14.59,7.41
2023-06-30,108.74,$15.30,7.11
2023-03-31,109.13,$14.99,7.28
2022-12-31,119.13,$14.09,8.46
2022-09-30,98.33,$14.01,7.02
2022-06-30,95.94,$13.93,6.89
2022-03-31,98.81,$14.06,7.03
2021-12-31,91.87,$13.56,6.77
2021-09-30,87.08,$13.63,6.39
2021-06-30,92.98,$12.90,7.21
2021-03-31,94.14,$13.72,6.86
2020-12-31,92.33,$13.38,6.9
2020-09-30,77.51,$12.66,6.12
2020-06-30,71.82,$12.90,5.57
2020-03-31,69.44,$11.22,6.19
2019-12-31,101.38,$11.87,8.54
2019-09-30,92.07,$11.80,7.8
2019-06-30,85.85,$11.49,7.48
2019-03-31,78.49,$11.23,6.99
2018-12-31,71.23,$10.69,6.66
2018-09-30,82.7,$10.70,7.73
2018-06-30,77.51,$10.87,7.13
2018-03-31,79.98,$11.22,7.13
2017-12-31,86.05,$11.84,7.27
2017-09-30,75.84,$12.39,6.12
2017-06-30,72.44,$12.49,5.8
2017-03-31,72.81,$12.29,5.93
2016-12-31,69.44,$11.22,6.19
2016-09-30,60.02,$10.89,5.51
2016-06-30,58.08,$9.96,5.83
2016-03-31,50.76,$9.15,5.55
2015-12-31,53.31,$8.54,6.24
2015-09-30,52.6,$7.21,7.3
2015-06-30,54.17,$6.82,7.94
2015-03-31,50.98,$6.57,7.76
2014-12-31,50.16,$6.44,7.79
2014-09-30,48.26,$7.20,6.7
2014-06-30,50.33,$7.51,6.7
2014-03-31,32.11,$7.90,4.06
2013-12-31,31.88,$7.94,4.01
2013-09-30,29.38,$7.11,4.13
2013-06-30,26.39,$6.87,3.84
2013-03-31,24.15,$6.56,3.68
2012-12-31,20.81,$6.39,3.26
2012-09-30,20.62,$5.67,3.63
2012-06-30,20.24,$5.55,3.65
2012-03-31,19.9,$5.39,3.69
2011-12-31,17.27,$5.20,3.32
2011-09-30,13.83,$5.80,2.39
2011-06-30,16.96,$5.66,3.0
2011-03-31,17.54,$5.58,3.14
2010-12-31,15.68,$5.52,2.84
2010-09-30,13.95,$6.11,2.28
2010-06-30,12.96,$5.81,2.23
2010-03-31,13.96,$5.66,2.47
2009-12-31,11.4,$5.19,2.2
