Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,171.09,,44.99
2024-03-31,168.73,$3.80,44.37
2023-12-31,196.37,$3.52,55.86
2023-09-30,172.69,$3.22,53.69
2023-06-30,170.56,$2.75,61.93
2023-03-31,164.49,$3.12,52.76
2022-12-31,144.5,$2.82,51.22
2022-09-30,145.9,$2.69,54.33
2022-06-30,168.81,$3.01,56.05
2022-03-31,184.89,$3.38,54.71
2021-12-31,238.85,$3.65,65.51
2021-09-30,189.8,$3.75,50.56
2021-06-30,181.96,$3.56,51.18
2021-03-31,153.54,$3.52,43.64
2020-12-31,161.11,$3.54,45.51
2020-09-30,160.78,$3.22,49.91
2020-06-30,133.05,$3.13,42.57
2020-03-31,114.08,$2.84,40.21
2019-12-31,128.11,$2.81,45.52
2019-09-30,120.44,$2.96,40.69
2019-06-30,109.56,$3.12,35.17
2019-03-31,97.02,$1.42,68.23
2018-12-31,82.28,$1.88,43.7
2018-09-30,87.94,$1.67,52.72
2018-06-30,81.71,$0.95,86.18
2017-12-31,68.88,$2.35,29.31
2017-09-30,60.87,$1.69,36.01
2017-06-30,59.55,$1.60,37.29
2017-03-31,50.76,$1.70,29.83
2016-12-31,50.82,$1.74,29.22
2018-03-31,79.98,$1.43,56.11
2016-09-30,49.27,$1.12,44.19
2016-06-30,44.96,$1.05,42.85
2016-03-31,41.82,$1.01,41.38
2015-12-31,45.11,$0.88,51.24
2015-09-30,38.7,$1.16,33.37
2015-06-30,45.24,$0.98,46.13
2015-03-31,43.35,$1.07,40.37
2014-12-31,40.22,$0.91,44.38
2014-09-30,34.47,$0.74,46.79
2014-06-30,30.04,$0.73,40.97
2014-03-31,26.88,$0.36,75.14
2013-12-31,30.29,$1.01,29.95
