American Airlines Group Price to Free Cash Flow Ratio Historical Data,American Airlines Group Price to Free Cash Flow Ratio Historical Data,American Airlines Group Price to Free Cash Flow Ratio Historical Data,American Airlines Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,11.2,,0.0
2024-03-31,15.35,$-0.24,0.0
2023-12-31,13.74,$2.00,6.88
2023-09-30,12.81,$4.20,3.05
2023-06-30,17.94,$2.97,6.04
2023-03-31,14.75,$2.61,5.65
2022-12-31,12.72,$-3.20,0.0
2022-09-30,12.04,$-5.32,0.0
2022-06-30,12.68,$1.67,7.61
2021-12-31,17.96,$1.35,13.29
2021-09-30,20.52,$-3.69,0.0
2021-06-30,21.21,$-5.83,0.0
2021-03-31,23.9,$-14.07,0.0
2020-12-31,15.77,$-16.84,0.0
2020-09-30,12.29,$-11.48,0.0
2020-06-30,13.07,$-6.12,0.0
2020-03-31,12.19,$-3.97,0.0
2019-12-31,28.58,$-0.90,0.0
2019-09-30,26.79,$-1.97,0.0
2019-06-30,32.28,$-3.09,0.0
2019-03-31,31.34,$-1.64,0.0
2018-12-31,31.6,$-0.22,0.0
2018-09-30,40.57,$-1.45,0.0
2018-06-30,37.16,$-1.39,0.0
2018-03-31,50.75,$-1.23,0.0
2017-12-31,50.71,$-2.30,0.0
2017-09-30,46.19,$-0.36,0.0
2017-06-30,48.84,$0.61,79.87
2017-03-31,40.97,$1.02,39.99
2016-12-31,45.12,$1.65,27.33
2016-09-30,35.29,$3.77,9.36
2016-06-30,27.21,$1.87,14.56
2016-03-31,39.3,$0.08,467.84
2022-03-31,18.25,$-0.74,0.0
2015-12-31,40.47,$0.19,209.14
2015-09-30,37.03,$1.42,26.14
2015-06-30,37.99,$-0.51,0.0
2015-03-31,50.1,$-1.76,0.0
2014-12-31,50.81,$-2.99,0.0
2014-09-30,33.53,$-8.89,0.0
2014-06-30,40.49,$-8.61,0.0
2014-03-31,34.5,$-7.32,0.0
2013-12-31,23.8,$-8.25,0.0
2013-09-30,17.87,$-5.01,0.0
2013-06-30,15.48,$-4.73,0.0
2013-03-31,16.0,$-5.07,0.0
2012-12-31,12.73,$-1.92,0.0
2012-09-30,9.86,$-2.89,0.0
2012-06-30,12.56,$-3.52,0.0
2012-03-31,7.15,$-5.49,0.0
2011-12-31,4.78,$-6.97,0.0
2011-09-30,5.18,$-4.03,0.0
2011-06-30,8.4,$-3.80,0.0
2011-03-31,8.21,$-1.54,0.0
2010-12-31,9.44,$-2.15,0.0
2010-09-30,8.72,$-1.97,0.0
2010-06-30,8.12,$-1.65,0.0
2010-03-31,6.93,$-2.38,0.0
2009-12-31,4.56,$-1.75,0.0
