Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,98.61,,21.76
2023-12-31,88.31,$4.53,19.49
2023-09-30,74.74,$4.25,17.57
2023-06-30,80.76,$2.67,30.23
2023-03-31,80.58,$2.07,38.88
2022-12-31,77.08,$2.81,27.43
2022-09-30,66.64,$2.16,30.81
2022-06-30,83.42,$4.48,18.63
2022-03-31,103.32,$5.98,17.28
2021-12-31,110.68,$7.59,14.58
2021-09-30,91.62,$8.35,10.97
2021-06-30,105.48,$7.95,13.27
2021-03-31,98.93,$8.11,12.2
2020-12-31,89.57,$7.76,11.54
2020-09-30,69.3,$9.59,7.22
2020-06-30,61.28,$9.16,6.69
2020-03-31,40.6,$9.05,4.49
2019-12-31,68.11,$7.75,8.79
2019-09-30,62.92,$7.98,7.88
2019-06-30,65.79,$7.57,8.69
2019-03-31,63.59,$7.47,8.51
2018-12-31,60.8,$7.14,8.52
2018-09-30,78.92,$6.02,13.11
2018-06-30,81.94,$6.73,12.17
2018-03-31,86.1,$6.41,13.43
2017-12-31,75.15,$7.00,10.74
2017-09-30,72.96,$5.15,14.18
2017-06-30,67.31,$4.43,15.2
2017-03-31,64.37,$5.20,12.37
2016-12-31,59.52,$5.39,11.04
2016-09-30,53.21,$6.51,8.18
2016-06-30,53.0,$6.08,8.72
2016-03-31,56.03,$6.36,8.81
2015-12-31,52.03,$6.52,7.99
2015-09-30,49.55,$6.15,8.06
2015-06-30,62.29,$7.48,8.32
2015-03-31,52.46,$6.44,8.14
2014-12-31,57.13,$5.65,10.12
2014-09-30,60.6,$5.78,10.49
2014-06-30,65.17,$4.99,13.05
2014-03-31,64.06,$5.91,10.84
2013-12-31,59.72,$5.20,11.48
2013-09-30,57.38,$2.58,22.26
2013-06-30,51.37,$2.54,20.24
2024-03-31,99.41,$1.08,92.33
2013-03-31,51.05,$4.35,11.73
2012-12-31,49.51,$4.41,11.22
2012-09-30,41.29,$4.10,10.07
2012-06-30,36.31,$3.24,11.2
2012-03-31,37.05,$-1.93,0.0
2011-12-31,27.86,$1.11,25.07
2011-09-30,24.27,$0.64,37.69
2011-06-30,35.89,$1.83,19.6
2011-03-31,34.76,$6.50,5.34
2010-12-31,29.28,$2.20,13.31
2010-09-30,25.62,$1.44,17.84
2010-06-30,18.35,$1.48,12.39
2010-03-31,21.74,$1.67,12.98
2009-12-31,20.42,$3.20,6.38
