Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,34.41,,14.82
2024-03-31,33.28,$2.32,14.33
2023-12-31,33.72,$2.02,16.73
2023-09-30,34.64,$2.06,16.79
2023-06-30,30.83,$1.90,16.26
2023-03-31,27.96,$1.44,19.48
2022-12-31,28.44,$1.13,25.15
2022-09-30,20.05,$1.29,15.5
2022-06-30,27.42,$1.17,23.41
2022-03-31,34.41,$1.44,23.88
2021-12-31,22.59,$2.22,10.15
2021-09-30,23.05,$1.76,13.12
2021-06-30,21.14,$1.53,13.79
2021-03-31,19.83,$1.20,16.46
2020-12-31,18.98,$0.77,24.79
2020-09-30,11.96,$2.28,5.25
2020-06-30,13.7,$2.52,5.44
2020-03-31,9.24,$3.11,2.97
2019-12-31,22.37,$2.06,10.83
2019-09-30,20.08,$2.19,9.17
2019-06-30,21.16,$2.24,9.44
2019-03-31,23.63,$1.51,15.65
2018-12-31,18.19,$2.86,6.37
2018-09-30,28.41,$-0.02,0.0
2018-06-30,27.59,$-1.29,0.0
2018-03-31,23.08,$-2.49,0.0
2017-12-31,26.15,$-1.85,0.0
2017-09-30,30.09,$-10.07,0.0
2017-06-30,30.32,$-1.01,0.0
2016-12-31,36.14,$0.00,0.0
2016-09-30,28.08,$-2.96,0.0
2016-06-30,25.11,$4.26,5.89
2016-03-31,24.38,$-1.97,0.0
2015-12-31,25.67,$-0.08,0.0
2015-09-30,28.95,$1.87,15.52
2014-12-31,31.19,$3.64,8.56
2014-09-30,36.19,$4.19,8.63
2014-06-30,41.42,$1.55,26.76
2014-03-31,36.17,$2.87,12.6
2013-12-31,30.74,$3.47,8.86
2015-06-30,34.32,$0.99,34.56
2013-09-30,27.24,$2.58,10.57
2013-06-30,25.52,$1.47,17.31
2013-03-31,25.59,$-0.11,0.0
2012-12-31,22.45,$-1.56,0.0
2012-09-30,24.77,$-1.96,0.0
2012-06-30,22.43,$-2.90,0.0
2012-03-31,22.81,$-2.30,0.0
2011-12-31,26.38,$-1.47,0.0
2011-09-30,24.96,$-2.10,0.0
2011-06-30,39.16,$-1.45,0.0
2011-03-31,39.54,$-1.27,0.0
2010-12-31,30.72,$-1.08,0.0
2010-09-30,22.81,$-0.35,0.0
2010-06-30,22.19,$0.21,107.27
2010-03-31,24.93,$1.21,20.53
2009-12-31,21.47,$1.02,21.13
2009-09-30,22.55,$0.73,30.9
2009-06-30,19.19,$0.13,150.29
