Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,47.29,,15.53
2024-04-30,46.98,$3.05,15.42
2024-01-31,49.77,$3.31,15.02
2023-10-31,51.31,$4.27,12.03
2023-07-31,50.85,$4.64,10.96
2023-04-30,45.82,$4.09,11.2
2023-01-31,46.85,$3.75,12.5
2022-10-31,43.38,$3.20,13.54
2022-07-31,42.94,$3.06,14.02
2022-04-30,45.94,$3.24,14.18
2022-01-31,51.85,$3.25,15.95
2021-10-31,51.82,$3.34,15.49
2021-07-31,50.91,$3.49,14.58
2021-04-30,46.49,$3.30,14.08
2021-01-31,40.43,$3.40,11.88
2020-10-31,32.29,$3.62,8.92
2020-07-31,41.97,$3.49,12.04
2020-04-30,37.47,$3.47,10.81
2020-01-31,40.28,$3.45,11.66
2019-10-31,41.33,$3.38,12.23
2019-07-31,47.84,$3.36,14.26
2019-04-30,48.02,$3.32,14.46
2019-01-31,40.33,$2.83,14.25
2018-10-31,38.71,$2.83,13.69
2018-07-31,35.54,$2.64,13.46
2018-04-30,36.93,$2.61,14.16
2018-01-31,34.36,$2.76,12.46
2017-10-31,28.04,$2.66,10.55
2017-07-31,25.6,$2.56,10.01
2017-04-30,27.48,$2.50,10.97
2017-01-31,24.56,$2.44,10.09
2016-10-31,24.32,$2.44,9.95
2016-07-31,24.0,$2.45,9.8
2016-04-30,21.42,$2.50,8.57
2016-01-31,18.37,$2.47,7.43
2015-10-31,22.1,$2.27,9.74
2015-07-31,21.59,$2.21,9.79
2015-04-30,21.73,$2.07,10.52
2015-01-31,19.73,$2.11,9.33
2014-10-31,18.18,$2.11,8.63
2014-07-31,18.61,$2.14,8.7
2014-04-30,16.92,$2.23,7.58
2014-01-31,15.91,$2.18,7.3
2013-10-31,16.25,$2.25,7.23
2013-07-31,18.3,$2.21,8.29
2013-04-30,14.86,$2.05,7.26
2013-01-31,14.49,$2.01,7.2
2012-10-31,11.99,$1.96,6.11
2012-07-31,11.07,$1.93,5.75
2012-04-30,13.93,$1.85,7.54
2012-01-31,13.52,$1.86,7.28
2011-10-31,12.71,$0.42,30.55
2011-07-31,10.92,$0.54,20.32
2011-04-30,11.93,$0.53,22.34
2011-01-31,14.35,$0.42,33.98
2010-07-31,15.65,$1.57,9.99
2010-04-30,18.27,$2.35,7.79
2010-01-31,15.25,$2.13,7.17
2009-10-31,15.48,$2.06,7.52
2009-07-31,14.93,$2.74,5.45
