Healthpeak Properties Price to Free Cash Flow Ratio Historical Data,Healthpeak Properties Price to Free Cash Flow Ratio Historical Data,Healthpeak Properties Price to Free Cash Flow Ratio Historical Data,Healthpeak Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,19.24,,33.16
2024-03-31,18.75,$0.58,32.32
2023-12-31,19.8,$0.64,30.88
2023-09-30,18.36,$0.38,47.74
2023-06-30,20.1,$0.27,73.71
2023-03-31,21.97,$0.21,105.63
2022-12-31,24.79,$-0.17,0.0
2022-09-30,22.39,$-0.89,0.0
2022-06-30,25.02,$-1.40,0.0
2022-03-31,32.83,$0.16,208.2
2021-12-31,34.2,$2.04,16.75
2021-09-30,31.45,$2.70,11.66
2021-06-30,31.01,$3.23,9.62
2021-03-31,29.31,$1.32,22.16
2020-12-31,27.64,$0.19,147.94
2020-09-30,24.51,$0.01,0.0
2020-06-30,24.55,$-0.68,0.0
2020-03-31,20.92,$-1.83,0.0
2019-12-31,29.93,$-2.31,0.0
2019-09-30,30.63,$0.72,42.28
2019-06-30,27.19,$1.71,15.85
2019-03-31,26.61,$3.98,6.69
2018-12-31,23.46,$4.09,5.73
2018-09-30,21.82,$0.85,25.78
2018-06-30,21.11,$0.53,39.8
2018-03-31,18.7,$0.02,798.94
2017-12-31,20.64,$2.62,7.89
2017-09-30,21.73,$3.88,5.61
2017-06-30,24.65,$4.26,5.79
2017-03-31,23.83,$4.71,5.06
2016-12-31,22.37,$2.08,10.74
2016-09-30,25.77,$3.34,7.72
2016-06-30,23.68,$3.51,6.74
2016-03-31,21.44,$0.82,26.22
2015-12-31,24.77,$0.87,28.59
2015-09-30,23.75,$-0.35,0.0
2015-06-30,22.91,$-0.82,0.0
2015-03-31,26.76,$1.14,23.5
2014-12-31,26.94,$1.46,18.41
2014-09-30,23.99,$1.53,15.72
2014-06-30,24.67,$1.95,12.67
2014-03-31,22.83,$2.51,9.1
2013-12-31,21.08,$2.30,9.15
2013-09-30,23.47,$2.87,8.16
2013-06-30,25.72,$2.42,10.61
2013-03-31,27.94,$2.37,11.79
2012-12-31,25.03,$2.46,10.19
2012-09-30,24.37,$1.71,14.22
2012-06-30,23.93,$1.97,12.16
2012-03-31,21.13,$1.84,11.51
2011-12-31,21.92,$1.64,13.32
2011-09-30,18.32,$1.37,13.42
2011-06-30,18.9,$1.29,14.61
2011-03-31,19.3,$0.96,20.05
2010-12-31,18.47,$1.00,18.41
2010-09-30,17.84,$1.12,15.88
2010-06-30,15.78,$1.20,13.15
2010-03-31,15.92,$1.65,9.64
2009-12-31,14.49,$1.79,8.1
