NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,127.64,,17.77
2024-04-30,102.21,$7.18,14.23
2024-01-31,86.79,$5.44,15.95
2023-10-31,72.02,$4.78,15.06
2023-07-31,76.68,$4.92,15.6
2023-04-30,61.42,$3.95,15.57
2023-01-31,64.17,$4.57,14.05
2022-10-31,66.57,$3.97,16.76
2022-07-31,68.04,$4.43,15.35
2022-04-30,69.34,$4.30,16.12
2022-01-31,81.37,$6.74,12.08
2021-10-31,83.55,$7.35,11.37
2021-07-31,74.06,$6.78,10.92
2021-04-30,69.07,$6.82,10.12
2021-01-31,61.05,$4.38,13.94
2020-10-31,40.03,$4.63,8.65
2020-07-31,39.99,$0.79,50.41
2020-04-30,39.07,$1.28,30.61
2020-01-31,47.09,$1.48,31.73
2019-10-31,48.91,$0.23,209.37
2019-04-30,62.69,$4.51,13.9
2019-01-31,54.57,$7.60,7.18
2018-10-31,66.7,$7.05,9.47
2018-07-31,65.57,$8.84,7.41
2018-04-30,56.02,$8.91,6.28
2019-07-31,50.72,$5.24,9.68
2018-01-31,51.59,$5.26,9.81
2017-10-31,37.13,$4.02,9.24
2017-07-31,36.13,$3.66,9.88
2017-04-30,33.0,$4.27,7.73
2017-01-31,31.58,$4.16,7.58
2016-07-31,21.48,$3.47,6.2
2016-04-30,19.13,$3.08,6.2
2016-01-31,17.63,$4.07,4.33
2015-10-31,27.13,$1.73,15.67
2015-07-31,24.72,$2.19,11.27
2015-04-30,28.6,$2.92,9.78
2016-10-31,27.82,$1.04,26.88
2015-01-31,29.68,$3.21,9.26
2014-10-31,33.47,$3.21,10.44
2014-07-31,30.25,$3.11,9.72
2014-04-30,27.61,$3.24,8.51
2014-01-31,32.69,$3.40,9.61
2013-10-31,29.86,$3.31,9.03
2013-07-31,31.52,$3.10,10.15
2013-04-30,26.64,$2.94,9.05
2013-01-31,27.49,$3.04,9.03
2012-10-31,20.55,$2.82,7.29
2012-07-31,24.95,$2.85,8.76
2012-04-30,29.65,$2.75,10.79
2012-01-31,28.82,$4.09,7.05
2011-10-31,31.28,$3.97,7.88
2011-07-31,36.28,$4.46,8.13
2011-04-30,39.79,$4.49,8.86
2010-07-31,32.3,$2.70,11.95
2010-04-30,26.47,$2.38,11.14
2010-01-31,22.24,$1.10,20.31
2009-10-31,20.65,$0.89,23.15
2009-07-31,17.15,$0.68,25.07
2009-04-30,13.97,$1.79,7.8
