Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,1592.21,,38.96
2024-04-30,1296.0,$40.87,31.71
2024-01-31,1171.3,$42.18,27.77
2023-10-31,831.34,$41.30,20.13
2023-07-31,883.05,$41.24,21.41
2023-04-30,612.3,$40.24,15.22
2023-01-31,567.65,$39.84,14.25
2022-10-31,452.38,$38.56,11.73
2022-07-31,510.93,$35.61,14.35
2022-04-30,524.7,$33.83,15.51
2022-01-31,550.75,$31.93,17.25
2021-10-31,496.64,$31.05,15.99
2021-07-31,450.12,$30.74,14.64
2021-04-30,419.79,$29.91,14.04
2021-01-31,411.42,$29.28,14.05
2020-10-31,316.68,$27.55,11.5
2020-07-31,284.27,$25.48,11.16
2020-04-30,241.18,$24.14,9.99
2020-01-31,266.46,$22.74,11.72
2019-10-31,253.13,$22.32,11.34
2019-07-31,248.34,$22.84,10.87
2019-04-30,270.06,$21.98,12.28
2019-01-31,225.47,$10.47,21.54
2018-10-31,185.88,$11.24,16.53
2018-07-31,183.11,$8.17,22.4
2018-04-30,188.16,$6.20,30.35
2017-10-31,213.51,$14.07,15.18
2017-07-31,198.74,$11.48,17.31
2017-04-30,177.15,$12.36,14.33
2017-01-31,159.33,$11.11,14.34
2016-10-31,135.21,$9.54,14.18
2018-01-31,201.99,$7.66,26.38
2016-07-31,128.24,$5.62,22.82
2016-04-30,115.03,$5.40,21.31
2016-01-31,105.18,$6.44,16.32
2015-10-31,96.56,$6.53,14.79
2015-07-31,97.83,$5.16,18.95
2015-04-30,91.11,$4.55,20.03
2015-01-31,79.97,$3.42,23.41
2014-10-31,66.8,$2.87,23.29
2014-07-31,53.54,$2.89,18.51
2014-04-30,48.81,$2.27,21.47
2014-01-31,41.82,$2.15,19.43
2013-10-31,34.61,$1.93,17.94
2013-07-31,27.78,$1.88,14.77
2013-04-30,24.07,$1.85,13.0
2013-01-31,26.8,$1.91,14.03
2012-10-31,24.62,$1.81,13.62
2012-07-31,27.38,$1.87,14.61
2012-04-30,25.47,$2.36,10.81
2012-01-31,24.99,$2.66,9.38
2011-10-31,24.76,$2.44,10.16
2011-07-31,24.58,$2.57,9.58
2011-04-30,24.39,$2.30,10.61
2011-01-31,20.87,$1.77,11.8
2010-10-31,17.89,$1.76,10.17
2010-07-31,15.78,$1.37,11.51
