LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,41.66,,57.15
2024-03-31,53.05,$0.73,72.77
2023-12-31,47.19,$0.60,78.21
2023-09-30,48.57,$1.15,42.11
2023-06-30,56.87,$0.91,62.55
2022-12-31,51.61,$3.73,13.84
2022-09-30,45.33,$6.26,7.24
2022-06-30,46.98,$5.95,7.9
2022-03-31,43.24,$6.28,6.88
2021-12-31,56.87,$6.29,9.04
2023-03-31,55.13,$4.79,11.5
2021-09-30,47.46,$5.04,9.42
2021-06-30,46.42,$4.30,10.8
2021-03-31,39.92,$5.33,7.5
2020-12-31,33.24,$4.22,7.87
2020-09-30,26.15,$3.41,7.67
2020-06-30,24.71,$3.66,6.75
2020-03-31,19.34,$1.58,12.25
2019-12-31,33.67,$1.52,22.08
2019-09-30,29.66,$1.94,15.3
2019-06-30,25.1,$1.46,17.22
2018-12-31,22.38,$1.55,14.48
2018-09-30,29.87,$1.82,16.42
2018-06-30,30.09,$1.80,16.71
2018-03-31,35.79,$1.53,23.45
2017-12-31,38.36,$1.72,22.31
2019-03-31,26.77,$1.41,19.03
2017-09-30,33.94,$1.20,28.19
2017-06-30,31.08,$1.43,21.79
2017-03-31,27.61,$1.53,18.02
2016-12-31,28.91,$1.39,20.76
2016-09-30,33.44,$1.10,30.52
2016-06-30,29.9,$1.35,22.13
2016-03-31,30.12,$0.99,30.52
2015-12-31,27.95,$1.22,22.99
2015-09-30,26.75,$1.40,19.1
2015-06-30,28.53,$1.23,23.1
2015-03-31,24.11,$1.10,21.83
2014-12-31,26.52,$0.81,32.76
2014-09-30,25.08,$0.91,27.43
2014-06-30,25.17,$0.83,30.45
2014-03-31,24.85,$1.04,23.98
2013-12-31,31.03,$1.11,27.93
2013-09-30,30.06,$0.91,33.04
2013-06-30,24.29,$0.69,35.31
2013-03-31,20.52,$0.25,83.5
2012-12-31,19.9,$0.06,346.71
2012-09-30,17.43,$0.21,84.02
2012-06-30,15.73,$0.07,239.85
2011-12-31,14.19,$0.43,33.12
2011-09-30,11.39,$0.38,30.2
2011-06-30,12.3,$0.54,22.87
2011-03-31,11.37,$0.64,17.87
2010-12-31,10.71,$0.45,24.02
2012-03-31,14.7,$0.67,21.95
2010-09-30,9.81,$0.38,25.91
2010-06-30,9.09,$0.41,21.92
2010-03-31,9.57,$0.53,18.04
2009-12-31,9.24,$0.38,24.36
