Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,160.51,,8.28
2024-03-31,173.01,$19.38,8.93
2023-12-31,139.15,$15.19,9.16
2023-09-30,110.03,$14.76,7.45
2023-06-30,106.82,$17.53,6.1
2023-03-31,107.68,$19.01,5.66
2022-12-31,130.86,$18.10,7.23
2022-09-30,119.42,$16.80,7.11
2022-06-30,120.69,$13.84,8.72
2022-03-31,131.08,$12.69,10.33
2021-12-31,110.58,$15.95,6.93
2021-09-30,118.81,$17.18,6.91
2021-06-30,121.0,$16.84,7.18
2021-03-31,105.96,$17.77,5.96
2020-12-31,100.64,$16.43,6.13
2020-09-30,85.74,$15.80,5.43
2020-06-30,87.83,$17.02,5.16
2020-03-31,82.61,$15.19,5.44
2019-12-31,100.76,$14.08,7.16
2019-09-30,96.95,$14.38,6.74
2019-06-30,90.27,$13.94,6.47
2019-03-31,83.17,$4.83,17.22
2018-12-31,72.58,$5.70,12.73
2018-09-30,86.7,$7.04,12.31
2018-06-30,79.81,$3.42,23.31
2017-12-31,90.66,$10.92,8.3
2017-09-30,79.29,$16.35,4.85
2017-06-30,75.99,$13.01,5.84
2017-03-31,69.72,$15.38,4.53
2016-12-31,63.12,$14.81,4.26
2018-03-31,82.49,$8.36,9.87
2016-09-30,58.65,$8.80,6.67
2016-06-30,59.02,$8.58,6.88
2016-03-31,56.56,$8.67,6.52
2015-12-31,51.87,$8.14,6.37
2015-09-30,48.42,$7.39,6.55
2015-06-30,53.65,$7.12,7.54
2015-03-31,58.6,$7.00,8.37
2014-12-31,57.6,$6.73,8.56
2014-09-30,50.12,$7.72,6.49
2014-06-30,47.73,$7.84,6.09
2014-03-31,45.77,$8.09,5.66
2013-12-31,43.9,$8.58,5.12
2013-09-30,40.5,$6.96,5.82
2013-06-30,38.35,$5.45,7.04
2013-03-31,38.91,$5.52,7.04
2012-12-31,31.68,$5.62,5.64
2012-09-30,31.07,$5.26,5.9
2012-06-30,27.36,$4.37,6.26
2012-03-31,25.5,$3.45,7.38
2011-12-31,21.09,$3.22,6.55
2011-09-30,18.07,$4.08,4.43
2011-06-30,23.11,$4.98,4.64
2011-03-31,23.89,$6.04,3.96
2010-12-31,23.81,$6.50,3.66
2010-09-30,23.41,$6.73,3.48
2010-06-30,21.16,$6.93,3.05
2010-03-31,23.64,$6.61,3.58
2009-12-31,21.84,$7.60,2.87
