AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,18.4,,6.07
2024-03-31,17.32,$3.03,5.71
2023-12-31,16.24,$2.82,5.76
2023-09-30,14.27,$2.72,5.24
2023-06-30,14.88,$2.47,6.02
2023-03-31,17.71,$2.04,8.68
2022-12-31,16.7,$2.13,7.83
2022-09-30,13.67,$1.93,7.09
2022-06-30,18.43,$2.03,9.09
2022-03-31,15.6,$0.23,66.55
2021-12-31,15.93,$0.13,125.69
2021-09-30,17.16,$0.67,25.7
2021-06-30,17.95,$1.09,16.47
2020-12-31,17.32,$3.05,5.67
2020-09-30,16.86,$5.92,2.85
2020-06-30,17.57,$5.55,3.16
2020-03-31,16.65,$5.32,3.13
2019-12-31,22.03,$5.98,3.68
2021-03-31,18.56,$3.63,5.12
2019-09-30,21.04,$4.10,5.14
2019-06-30,18.36,$4.01,4.58
2019-03-31,16.91,$3.61,4.69
2018-12-31,15.13,$3.28,4.61
2018-09-30,17.54,$2.78,6.32
2018-06-30,16.52,$2.98,5.55
2018-03-31,18.08,$2.78,6.51
2017-12-31,19.46,$2.81,6.93
2017-09-30,19.36,$2.54,7.61
2017-06-30,18.4,$2.48,7.42
2017-03-31,20.02,$2.69,7.44
2016-12-31,20.26,$2.73,7.41
2016-09-30,19.11,$2.96,6.46
2016-06-30,20.11,$2.87,7.0
2016-03-31,18.0,$2.95,6.09
2015-12-31,15.6,$2.95,5.28
2015-09-30,14.56,$2.58,5.64
2015-06-30,15.66,$2.39,6.55
2015-03-31,14.19,$-0.08,0.0
2014-12-31,14.4,$-0.18,0.0
2014-09-30,14.91,$0.11,131.47
2014-06-30,14.77,$0.29,51.59
2013-12-31,14.3,$2.57,5.56
2013-09-30,13.57,$4.92,2.76
2013-06-30,14.03,$4.88,2.88
2013-03-31,14.37,$5.24,2.74
2012-12-31,13.03,$5.38,2.42
2014-03-31,14.46,$3.18,4.54
2012-09-30,14.41,$2.95,4.88
2012-06-30,13.46,$2.69,5.01
2012-03-31,11.62,$2.46,4.73
2011-12-31,11.09,$2.46,4.51
2011-09-30,10.3,$2.70,3.82
2011-06-30,11.19,$2.54,4.41
2011-03-31,10.76,$0.23,45.83
2010-12-31,10.17,$0.21,48.61
2010-09-30,9.76,$0.57,17.03
2010-06-30,8.12,$0.54,15.15
2009-12-31,9.11,$3.01,3.02
2009-09-30,8.65,$3.12,2.77
