Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,209.19,,10.06
2024-03-31,206.72,$20.79,9.94
2023-12-31,158.41,$17.77,8.92
2023-09-30,138.44,$15.27,9.06
2023-06-30,131.46,$12.78,10.29
2023-03-31,141.98,$11.18,12.7
2022-12-31,128.63,$11.23,11.46
2022-09-30,115.15,$10.37,11.1
2022-06-30,115.11,$11.07,10.4
2022-03-31,112.76,$12.69,8.88
2021-12-31,101.44,$12.92,7.85
2021-09-30,87.92,$14.81,5.94
2021-06-30,95.43,$13.25,7.2
2021-03-31,92.81,$5.66,16.41
2020-12-31,91.54,$3.08,29.76
2020-09-30,87.55,$3.39,25.8
2020-06-30,73.99,$3.36,22.03
2019-12-31,64.68,$10.14,6.38
2019-09-30,68.94,$15.94,4.33
2019-06-30,71.24,$15.72,4.53
2019-03-31,64.17,$16.16,3.97
2018-12-31,53.7,$15.95,3.37
2020-03-31,68.11,$11.27,6.04
2018-09-30,63.23,$9.43,6.7
2018-06-30,52.65,$8.60,6.12
2018-03-31,54.23,$7.25,7.48
2017-12-31,49.1,$6.17,7.95
2017-09-30,42.21,$6.03,7.0
2017-06-30,38.44,$5.17,7.43
2017-03-31,34.16,$4.86,7.03
2016-12-31,30.39,$4.31,7.04
2016-09-30,26.96,$3.78,7.14
2016-06-30,28.68,$3.85,7.46
2016-03-31,30.08,$3.73,8.07
2015-12-31,26.45,$3.69,7.17
2015-09-30,25.49,$3.59,7.1
2015-06-30,23.15,$3.40,6.81
2015-03-31,22.62,$2.92,7.76
2014-12-31,21.87,$2.73,8.01
2014-09-30,20.48,$2.87,7.13
2014-06-30,20.55,$2.83,7.27
2014-03-31,19.62,$2.85,6.88
2013-12-31,20.76,$2.92,7.11
2013-09-30,20.73,$2.69,7.7
2013-06-30,19.35,$2.57,7.52
2013-03-31,19.24,$2.61,7.36
2012-12-31,15.86,$2.58,6.15
2012-09-30,14.9,$2.56,5.82
2012-06-30,14.96,$2.47,6.05
2012-03-31,16.65,$2.35,7.1
2011-12-31,13.74,$2.23,6.15
2011-09-30,12.51,$2.24,5.57
2011-06-30,15.06,$2.22,6.78
2011-03-31,14.88,$2.47,6.03
2010-12-31,13.72,$2.45,5.61
2010-09-30,13.71,$2.57,5.33
2010-06-30,12.3,$2.56,4.8
2010-03-31,12.54,$2.32,5.4
2009-12-31,11.71,$2.12,5.54
