Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,90.47,,13.56
2023-12-31,85.19,$6.67,12.77
2023-09-30,72.76,$5.09,14.3
2023-06-30,92.09,$0.01,0.0
2023-03-31,90.63,$3.68,24.62
2022-12-31,77.74,$5.27,14.75
2024-03-31,96.01,$-4.74,0.0
2022-09-30,59.59,$3.49,17.06
2022-06-30,59.45,$3.62,16.42
2022-03-31,78.54,$5.41,14.51
2021-12-31,67.19,$5.94,11.32
2021-09-30,65.79,$11.83,5.56
2021-06-30,71.92,$10.32,6.97
2021-03-31,66.11,$10.11,6.54
2020-12-31,55.1,$7.63,7.22
2020-09-30,43.27,$6.05,7.15
2020-06-30,47.14,$6.23,7.56
2020-03-31,46.84,$5.16,9.07
2019-12-31,68.39,$7.94,8.61
2019-09-30,65.55,$6.87,9.54
2019-06-30,68.05,$7.09,9.59
2019-03-31,60.12,$4.82,12.47
2018-12-31,59.8,$15.83,3.78
2018-09-30,55.08,$8.12,6.78
2018-03-31,57.88,$6.11,9.47
2017-12-31,57.53,$7.99,7.2
2017-09-30,58.04,$5.35,10.85
2017-06-30,64.48,$7.67,8.4
2017-03-31,66.61,$8.56,7.78
2016-12-31,65.33,$7.47,8.75
2016-09-30,64.84,$12.03,5.39
2016-06-30,61.76,$5.03,12.28
2016-03-31,62.67,$6.73,9.31
2015-12-31,56.61,$9.26,6.11
2018-06-30,61.23,$-2.91,0.0
2015-09-30,48.98,$6.57,7.45
2015-06-30,51.26,$5.38,9.52
2015-03-31,57.14,$5.64,10.13
2014-12-31,56.4,$4.95,11.4
2014-09-30,49.81,$4.81,10.36
2014-06-30,51.16,$5.06,10.11
2014-03-31,51.78,$5.27,9.83
2013-12-31,52.76,$6.13,8.6
2013-09-30,44.75,$4.92,9.1
2013-06-30,44.08,$4.36,10.1
2013-03-31,41.03,$3.76,10.91
2012-12-31,34.56,$4.54,7.62
2012-09-30,35.45,$4.92,7.21
2012-06-30,33.23,$5.36,6.2
2012-03-31,34.42,$4.57,7.53
2011-12-31,30.11,$3.99,7.55
2011-09-30,24.73,$4.17,5.93
2011-06-30,32.11,$3.95,8.14
2011-03-31,32.53,$4.62,7.04
2010-12-31,30.22,$4.40,6.87
2010-09-30,25.94,$3.82,6.78
2010-06-30,22.42,$4.25,5.28
2010-03-31,25.23,$5.00,5.05
2009-12-31,25.32,$5.16,4.91
