Corteva Price to Free Cash Flow Ratio Historical Data,Corteva Price to Free Cash Flow Ratio Historical Data,Corteva Price to Free Cash Flow Ratio Historical Data,Corteva Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,52.92,,20.21
2024-03-31,57.67,$2.62,22.03
2023-12-31,47.78,$1.73,27.63
2023-09-30,50.83,$-0.17,0.0
2023-06-30,56.75,$-0.68,0.0
2023-03-31,59.56,$-0.36,0.0
2022-12-31,57.91,$0.47,123.4
2022-09-30,56.18,$1.04,54.12
2022-06-30,53.09,$1.55,34.34
2022-03-31,56.22,$1.79,31.41
2021-12-31,46.12,$3.01,15.34
2021-09-30,40.93,$2.65,15.42
2021-06-30,43.0,$2.43,17.66
2021-03-31,45.08,$2.19,20.6
2020-12-31,37.33,$2.23,16.77
2020-09-30,27.67,$2.42,11.42
2020-06-30,25.61,$1.20,21.29
2020-03-31,22.34,$-2.51,0.0
