Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,68.77,,37.28
2024-03-31,64.97,$1.84,35.22
2023-12-31,57.0,$2.62,21.75
2023-09-30,52.25,$2.49,20.95
2023-06-30,66.47,$2.30,28.96
2023-03-31,58.41,$1.70,34.45
2022-12-31,61.69,$1.18,52.07
2022-09-30,47.18,$2.18,21.65
2022-06-30,45.58,$1.08,42.12
2022-03-31,61.97,$1.68,36.99
2021-12-31,76.43,$2.69,28.46
2021-09-30,63.71,$2.94,21.64
2021-06-30,63.99,$3.66,17.51
2021-03-31,55.41,$3.70,14.96
2020-12-31,43.07,$3.00,14.35
2020-09-30,37.55,$2.87,13.08
2020-06-30,31.18,$2.66,11.71
2020-03-31,24.44,$2.12,11.54
2019-12-31,36.61,$2.10,17.42
2019-09-30,39.22,$1.35,28.96
2019-06-30,36.7,$1.11,33.21
2019-03-31,32.61,$0.94,34.6
2018-12-31,25.98,$1.00,25.89
2018-09-30,30.42,$0.99,30.71
2018-06-30,28.87,$2.29,12.63
2018-03-31,30.19,$1.75,17.22
2017-12-31,32.42,$1.74,18.67
2017-09-30,34.03,$-0.38,0.0
2017-06-30,36.4,$-1.23,0.0
2017-03-31,35.15,$-1.37,0.0
2016-12-31,34.17,$-0.91,0.0
2016-09-30,34.28,$1.03,33.36
2016-06-30,32.54,$-0.19,0.0
2016-03-31,27.89,$0.53,52.59
2015-12-31,24.06,$0.24,98.28
2015-09-30,25.1,$0.76,33.08
2015-06-30,28.71,$1.75,16.36
2015-03-31,31.97,$1.54,20.81
2014-12-31,32.43,$1.82,17.79
2014-09-30,32.8,$1.89,17.36
2014-06-30,33.43,$1.62,20.59
2014-03-31,30.95,$1.84,16.82
2013-12-31,29.84,$1.71,17.43
2013-09-30,25.18,$1.30,19.37
2013-06-30,23.48,$2.39,9.83
2013-03-31,22.68,$3.42,6.64
2012-12-31,20.63,$4.38,4.72
2012-09-30,19.67,$5.20,3.78
2012-06-30,18.39,$5.65,3.25
2012-03-31,19.46,$5.33,3.65
2011-12-31,16.1,$5.01,3.21
2011-09-30,13.97,$4.59,3.05
2011-06-30,16.85,$4.71,3.57
2011-03-31,15.18,$4.55,3.34
2010-12-31,13.99,$4.49,3.11
2010-09-30,12.33,$4.87,2.53
2010-06-30,11.76,$4.27,2.76
2010-03-31,12.69,$4.38,2.9
2009-12-31,11.78,$4.34,2.72
