Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,224.87,,55.83
2023-12-31,233.79,$4.03,58.04
2023-09-30,193.41,$14.10,13.71
2023-06-30,221.39,$14.98,14.78
2023-03-31,205.62,$18.72,10.99
2022-12-31,237.74,$18.08,13.15
2024-03-31,253.41,$11.37,22.29
2022-09-30,201.17,$12.01,16.75
2022-06-30,217.02,$11.10,19.54
2022-03-31,271.03,$11.42,23.73
2021-12-31,281.63,$11.87,23.73
2021-09-30,225.47,$11.65,19.35
2021-06-30,249.06,$10.80,23.05
2021-03-31,251.11,$9.88,25.42
2020-12-31,221.31,$9.65,22.94
2020-09-30,198.49,$9.55,20.79
2020-06-30,162.07,$9.02,17.97
2020-03-31,134.03,$9.26,14.48
2019-12-31,177.43,$8.47,20.94
2019-09-30,163.36,$7.88,20.73
2019-06-30,180.32,$7.85,22.98
2019-03-31,168.34,$7.60,22.14
2018-12-31,134.02,$7.06,18.98
2018-09-30,161.0,$7.46,21.6
2018-06-30,133.95,$7.04,19.03
2018-03-31,119.94,$6.00,19.99
2017-12-31,127.38,$5.97,21.35
2017-09-30,115.71,$5.02,23.06
2017-06-30,105.92,$5.08,20.85
2017-03-31,96.95,$4.19,23.13
2016-12-31,93.1,$4.31,21.58
2016-09-30,83.08,$4.10,20.27
2016-06-30,72.38,$1.61,44.97
2016-03-31,70.32,$2.75,25.56
2015-12-31,70.83,$1.93,36.79
2015-09-30,63.5,$1.13,56.01
2015-06-30,72.1,$2.90,24.84
2015-03-31,84.44,$3.01,28.09
2014-12-31,89.43,$2.92,30.68
2014-09-30,90.59,$3.95,22.91
2014-06-30,83.17,$3.94,21.1
2014-03-31,78.0,$3.56,21.93
2013-12-31,74.08,$3.97,18.68
2013-09-30,61.36,$3.37,18.19
2013-06-30,57.22,$3.10,18.49
2013-03-31,60.31,$2.54,23.79
2012-12-31,48.04,$3.12,15.38
2012-09-30,49.03,$2.37,20.66
2012-06-30,54.93,$3.15,17.45
2012-03-31,50.06,$4.40,11.38
2011-12-31,55.05,$3.28,16.8
2011-09-30,45.84,$4.12,11.13
2011-06-30,55.95,$3.68,15.21
2011-03-31,51.44,$2.86,18.01
2010-12-31,46.34,$3.61,12.85
2010-09-30,43.65,$3.83,11.4
2010-06-30,38.67,$3.71,10.43
2010-03-31,40.5,$2.79,14.54
2009-12-31,37.72,$1.73,21.76
