Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,300.01,,0.0
2024-03-31,301.44,$-7.47,0.0
2023-12-31,273.33,$-5.02,0.0
2023-09-30,236.53,$-6.12,0.0
2023-06-30,295.83,$-3.53,0.0
2022-12-31,256.41,$7.86,32.63
2022-09-30,262.01,$23.77,11.02
2022-06-30,293.95,$21.10,13.93
2022-03-31,413.7,$24.77,16.7
2021-12-31,595.2,$29.59,20.12
2023-03-31,318.0,$13.04,24.39
2021-09-30,515.42,$22.44,22.97
2021-06-30,529.49,$20.14,26.29
2021-03-31,485.18,$18.82,25.78
2020-12-31,384.33,$16.60,23.15
2020-09-30,252.46,$13.52,18.67
2020-06-30,255.95,$14.41,17.76
2020-03-31,183.6,$-0.10,0.0
2019-12-31,255.44,$3.86,66.18
2019-09-30,206.37,$2.59,79.77
2019-06-30,209.49,$1.20,174.0
2018-12-31,159.23,$13.28,11.99
2018-09-30,176.83,$15.05,11.75
2018-06-30,143.25,$12.27,11.68
2018-03-31,139.19,$9.71,14.33
2017-12-31,103.8,$9.34,11.11
2019-03-31,209.53,$3.83,54.75
2017-09-30,108.58,$5.28,20.57
2017-06-30,100.52,$7.55,13.31
2017-03-31,91.25,$6.34,14.4
2016-12-31,85.76,$5.87,14.6
2016-09-30,69.61,$3.36,20.72
2016-06-30,50.1,$2.30,21.81
2016-03-31,69.0,$1.30,52.93
2015-12-31,69.65,$0.00,0.0
2015-09-30,76.55,$2.50,30.57
2015-06-30,111.05,$1.51,73.55
2015-03-31,90.72,$3.34,27.2
2014-12-31,77.41,$4.07,19.03
2014-09-30,70.97,$3.11,22.79
2014-06-30,82.32,$3.79,21.74
2014-03-31,69.41,$3.90,17.78
2013-12-31,54.08,$3.41,15.87
2013-09-30,45.56,$3.25,14.0
2013-06-30,43.44,$3.29,13.21
2013-03-31,47.13,$2.98,15.8
2012-12-31,39.31,$3.10,12.67
2012-09-30,37.49,$2.91,12.89
2012-06-30,34.36,$2.44,14.08
2012-03-31,41.18,$1.66,24.75
2011-12-31,35.78,$0.95,37.73
2011-09-30,30.94,$0.88,35.09
2011-06-30,42.17,$0.96,43.86
2011-03-31,39.24,$1.35,28.98
2010-12-31,37.99,$1.93,19.63
2010-09-30,33.64,$1.99,16.89
2010-06-30,25.37,$1.93,13.13
2010-03-31,29.6,$1.91,15.49
2009-12-31,28.35,$1.36,20.85
