Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,440.35,,9.61
2024-03-31,436.9,$45.83,9.53
2023-12-31,377.2,$41.75,9.03
2023-09-30,326.09,$32.46,10.05
2023-06-30,327.26,$36.14,9.05
2023-03-31,300.59,$43.25,6.95
2022-12-31,304.27,$37.16,8.19
2022-09-30,245.23,$39.73,6.17
2022-06-30,230.27,$34.64,6.65
2022-03-31,289.64,$38.21,7.58
2021-12-31,289.85,$26.71,10.85
2021-09-30,252.85,$5.48,46.15
2021-06-30,237.25,$6.06,39.14
2021-03-31,220.65,$11.08,19.91
2020-12-31,183.57,$17.21,10.66
2020-09-30,144.69,$36.43,3.97
2020-06-30,139.96,$35.77,3.91
2019-12-31,153.24,$16.16,9.48
2019-09-30,134.47,$-3.06,0.0
2019-06-30,131.75,$24.35,5.41
2019-03-31,116.27,$21.38,5.44
2018-12-31,94.06,$24.71,3.81
2020-03-31,94.79,$44.71,2.12
2018-09-30,132.14,$8.67,15.23
2018-06-30,124.38,$7.35,16.93
2018-03-31,130.67,$7.40,17.66
2017-12-31,148.91,$8.69,17.15
2017-09-30,129.82,$8.30,15.65
2017-06-30,110.64,$8.82,12.54
2017-03-31,112.0,$9.77,11.46
2016-12-31,95.23,$13.31,7.15
2016-09-30,84.92,$15.87,5.35
2016-06-30,75.87,$14.73,5.15
2016-03-31,78.75,$12.33,6.39
2015-12-31,88.41,$13.89,6.37
2015-09-30,90.13,$11.77,7.65
2015-06-30,102.64,$17.93,5.72
2015-03-31,106.92,$14.57,7.34
2014-12-31,107.6,$11.72,9.18
2014-09-30,99.94,$10.79,9.27
2014-06-30,96.72,$8.36,11.57
2014-03-31,88.26,$10.42,8.47
2013-12-31,91.8,$6.08,15.1
2013-09-30,72.3,$7.82,9.24
2013-06-30,63.84,$3.88,16.47
2013-03-31,57.73,$3.39,17.04
2012-12-31,48.76,$6.14,7.94
2012-09-30,43.8,$6.43,6.81
2012-06-30,40.11,$7.81,5.14
2012-03-31,43.56,$9.05,4.81
2011-12-31,37.65,$8.44,4.46
2011-09-30,29.7,$5.25,5.66
2011-06-30,43.33,$3.74,11.58
2011-03-31,45.71,$6.05,7.56
2010-12-31,42.95,$6.54,6.56
2010-09-30,35.2,$4.69,7.5
2010-06-30,26.76,$6.21,4.31
2010-03-31,33.46,$-2.74,0.0
2009-12-31,28.51,$-5.73,0.0
