PTC Price to Free Cash Flow Ratio Historical Data,PTC Price to Free Cash Flow Ratio Historical Data,PTC Price to Free Cash Flow Ratio Historical Data,PTC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,177.21,,33.45
2024-03-31,188.94,$5.30,35.67
2023-12-31,174.96,$4.99,35.04
2023-09-30,141.68,$4.92,28.8
2023-06-30,142.3,$4.79,29.73
2023-03-31,128.23,$4.37,29.35
2022-12-31,120.04,$3.83,31.34
2022-09-30,104.6,$3.52,29.74
2022-06-30,106.34,$3.56,29.89
2022-03-31,107.72,$3.32,32.47
2021-12-31,121.15,$3.10,39.12
2021-09-30,119.79,$2.91,41.21
2021-06-30,141.26,$2.88,49.06
2021-03-31,137.65,$3.02,45.52
2020-12-31,119.61,$2.76,43.4
2020-09-30,82.72,$1.84,45.02
2020-06-30,77.79,$1.99,39.0
2020-03-31,61.21,$1.67,36.64
2019-12-31,74.89,$1.98,37.91
2019-09-30,68.18,$1.88,36.36
2019-06-30,89.76,$1.84,48.88
2019-03-31,92.18,$1.67,55.35
2018-12-31,82.9,$1.55,53.38
2018-09-30,106.19,$1.79,59.26
2018-06-30,93.81,$1.64,57.25
2018-03-31,78.01,$1.88,41.48
2017-12-31,60.77,$1.57,38.59
2017-09-30,56.28,$0.94,60.17
2017-06-30,55.12,$0.77,71.83
2017-03-31,52.55,$0.61,86.8
2016-12-31,46.27,$0.39,117.5
2016-09-30,44.31,$1.37,32.33
2016-06-30,37.58,$1.13,33.32
2016-03-31,33.16,$1.38,24.01
2015-12-31,34.63,$1.74,19.93
2015-09-30,31.74,$1.29,24.67
2015-06-30,41.02,$1.83,22.36
2015-03-31,36.17,$1.99,18.22
2014-12-31,36.65,$2.12,17.25
2014-09-30,36.9,$2.33,15.85
2014-06-30,38.8,$2.25,17.28
2014-03-31,35.42,$2.05,17.28
2013-12-31,35.39,$1.81,19.54
2013-09-30,28.46,$1.61,17.66
2013-06-30,24.53,$1.46,16.79
2013-03-31,25.49,$1.30,19.58
2012-12-31,22.51,$1.38,16.33
2012-09-30,21.77,$1.57,13.89
2012-06-30,20.96,$1.37,15.29
2012-03-31,27.94,$1.23,22.74
2011-12-31,18.26,$1.10,16.53
2011-09-30,15.38,$0.42,36.3
2011-06-30,22.93,$0.58,39.65
2011-03-31,22.49,$0.62,36.11
2010-12-31,22.53,$0.52,43.39
2010-09-30,19.54,$1.08,18.04
2010-06-30,15.67,$1.00,15.74
2010-03-31,18.05,$0.32,56.96
2009-12-31,16.34,$0.46,35.51
