Enphase Energy Price to Free Cash Flow Ratio Historical Data,Enphase Energy Price to Free Cash Flow Ratio Historical Data,Enphase Energy Price to Free Cash Flow Ratio Historical Data,Enphase Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,106.67,,37.2
2024-03-31,120.98,$2.87,42.19
2023-12-31,132.14,$4.09,32.29
2023-09-30,120.15,$5.65,21.28
2023-06-30,167.48,$5.97,28.06
2023-03-31,210.28,$5.75,36.59
2022-12-31,264.96,$4.84,54.78
2022-09-30,277.47,$3.73,74.41
2022-06-30,195.24,$3.25,60.13
2022-03-31,201.78,$2.27,88.85
2021-12-31,182.94,$2.10,87.19
2021-09-30,149.97,$2.06,72.86
2021-06-30,183.63,$1.74,105.51
2021-03-31,162.16,$1.57,103.3
2020-12-31,175.47,$1.38,127.2
2020-09-30,82.59,$1.57,52.5
2020-06-30,47.57,$1.18,40.4
2020-03-31,32.29,$1.06,30.4
2019-12-31,26.13,$0.94,27.68
2019-09-30,22.23,$0.23,98.76
2019-06-30,18.23,$0.28,65.53
2019-03-31,9.23,$0.24,39.03
2018-12-31,4.73,$0.12,39.32
2018-09-30,4.85,$0.08,62.18
2018-06-30,6.73,$-0.00,0.0
2018-03-31,4.57,$-0.00,0.0
2017-12-31,2.41,$-0.39,0.0
2017-09-30,1.52,$-0.44,0.0
2017-06-30,0.87,$-0.89,0.0
2017-03-31,1.37,$-0.86,0.0
2016-12-31,1.01,$-0.89,0.0
2016-09-30,1.18,$-0.75,0.0
2016-06-30,1.99,$-0.42,0.0
2016-03-31,2.33,$-0.81,0.0
2015-12-31,3.51,$-0.75,0.0
2015-09-30,3.7,$-0.67,0.0
2015-06-30,7.61,$-0.41,0.0
2015-03-31,13.19,$-0.14,0.0
2014-12-31,14.29,$0.26,55.86
2014-09-30,14.99,$0.26,57.45
2014-06-30,8.55,$0.10,86.63
2014-03-31,7.36,$0.09,82.6
2013-12-31,6.34,$-0.17,0.0
2013-09-30,8.12,$-0.64,0.0
2013-06-30,7.73,$-1.14,0.0
2013-03-31,6.2,$8.86,0.7
2012-12-31,3.65,$-1.87,0.0
