AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,18.47,,0.0
2024-03-31,17.76,$-7.90,0.0
2023-12-31,18.87,$-6.59,0.0
2023-09-30,14.74,$-5.45,0.0
2023-06-30,19.95,$-4.86,0.0
2023-03-31,23.01,$-3.61,0.0
2022-12-31,27.31,$-2.75,0.0
2022-09-30,21.33,$-1.60,0.0
2022-06-30,19.69,$-0.92,0.0
2022-03-31,23.94,$-0.49,0.0
2021-12-31,22.45,$-0.32,0.0
2021-09-30,20.97,$-0.01,0.0
2021-06-30,23.79,$0.90,26.3
2021-03-31,24.33,$1.29,18.83
2020-12-31,21.2,$1.28,16.56
2020-09-30,16.22,$0.91,17.87
2020-06-30,12.86,$-0.06,0.0
2020-03-31,11.94,$-0.47,0.0
2019-12-31,17.34,$0.09,189.54
2019-09-30,14.13,$0.43,32.68
2019-06-30,14.37,$0.37,38.51
2019-03-31,15.38,$0.58,26.41
2018-12-31,12.2,$0.33,36.55
2018-09-30,11.71,$0.48,24.39
2018-06-30,11.11,$0.64,17.34
2018-03-31,9.32,$0.17,54.63
2017-12-31,8.78,$0.50,17.72
2017-09-30,8.83,$0.39,22.89
2017-06-30,8.81,$0.43,20.52
2017-03-31,8.77,$1.19,7.36
2016-12-31,9.02,$0.84,10.79
2016-09-30,9.88,$0.64,15.52
2016-06-30,9.51,$0.74,12.8
2016-03-31,8.91,$0.01,0.0
2015-12-31,7.14,$-0.25,0.0
2015-09-30,7.24,$-0.38,0.0
2015-06-30,9.73,$-0.54,0.0
2015-03-31,9.36,$-0.32,0.0
2014-12-31,9.95,$-0.31,0.0
2014-09-30,10.21,$-0.24,0.0
2014-06-30,11.15,$-0.11,0.0
2014-03-31,10.21,$0.43,23.83
2013-12-31,10.33,$0.97,10.63
2013-09-30,9.44,$1.39,6.78
2013-06-30,8.49,$1.53,5.53
2013-03-31,8.87,$1.46,6.07
2012-12-31,7.53,$1.11,6.77
2012-09-30,7.69,$0.74,10.45
2012-06-30,8.99,$0.56,16.08
2012-03-31,9.16,$0.64,14.24
2011-12-31,8.3,$0.73,11.38
2011-09-30,6.84,$1.13,6.05
2011-06-30,8.93,$1.23,7.25
2011-03-31,9.11,$1.31,6.97
2010-12-31,8.53,$1.52,5.61
2010-09-30,7.95,$0.50,15.95
2010-06-30,6.47,$0.55,11.78
2010-03-31,7.71,$0.14,55.21
2009-12-31,9.33,$-0.44,0.0
