Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,49.56,,57.65
2024-03-31,46.88,$0.86,54.53
2023-12-31,42.29,$0.33,126.61
2023-09-30,36.89,$0.36,101.12
2023-06-30,39.43,$0.29,137.38
2023-03-31,40.19,$0.53,75.18
2022-12-31,37.2,$1.23,30.36
2022-09-30,26.62,$2.40,11.07
2022-06-30,28.33,$3.39,8.37
2022-03-31,48.02,$4.12,11.64
2021-12-31,40.15,$3.95,10.18
2021-09-30,31.23,$3.88,8.05
2021-06-30,35.55,$3.40,10.45
2021-03-31,31.48,$2.11,14.96
2020-12-31,24.88,$1.55,16.04
2020-09-30,14.95,$0.13,117.1
2020-06-30,11.06,$-0.39,0.0
2019-12-31,12.5,$-0.42,0.0
2019-09-30,9.07,$1.67,5.44
2019-06-30,10.95,$1.56,7.0
2019-03-31,12.11,$2.08,5.83
2018-12-31,9.65,$2.69,3.58
2020-03-31,6.45,$1.34,4.8
2018-09-30,12.97,$2.57,5.05
2018-06-30,16.04,$2.74,5.85
2018-03-31,16.28,$2.59,6.28
2017-12-31,17.57,$2.24,7.85
2017-09-30,13.01,$1.60,8.12
2017-06-30,11.13,$1.40,7.93
2017-03-31,12.38,$1.20,10.3
2016-12-31,12.22,$0.70,17.44
2016-09-30,10.07,$-0.24,0.0
2016-06-30,10.32,$-1.29,0.0
2016-03-31,9.58,$-1.98,0.0
2015-12-31,6.27,$-2.90,0.0
2015-09-30,8.95,$-2.81,0.0
2015-06-30,17.03,$-2.12,0.0
2015-03-31,17.28,$-2.24,0.0
2014-12-31,20.99,$-1.52,0.0
2014-09-30,29.05,$-0.13,0.0
2014-06-30,32.21,$0.03,1084.53
2014-03-31,28.91,$0.43,67.71
2013-12-31,32.7,$0.85,38.57
2013-09-30,28.4,$0.42,67.93
2013-06-30,23.44,$-0.31,0.0
2013-03-31,26.93,$0.22,121.09
2012-12-31,27.58,$0.29,93.97
2012-09-30,31.67,$-0.05,0.0
2012-06-30,27.0,$1.62,16.68
2012-03-31,29.89,$2.44,12.27
2011-12-31,28.74,$4.28,6.72
2011-09-30,23.62,$5.91,3.99
2011-06-30,40.85,$5.78,7.07
2011-03-31,42.25,$5.39,7.84
2010-12-31,45.48,$5.12,8.88
2010-09-30,31.96,$4.58,6.98
2010-06-30,22.03,$5.38,4.1
2010-03-31,31.06,$5.64,5.51
2009-12-31,29.8,$3.00,9.95
