Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,149.29,,28.9
2024-04-30,129.22,$5.17,25.02
2024-01-31,139.57,$5.19,26.89
2023-10-31,115.09,$5.89,19.55
2023-07-31,113.46,$6.09,18.62
2023-04-30,105.29,$5.23,20.13
2023-01-31,116.22,$3.00,38.75
2022-10-31,93.85,$0.31,303.03
2022-07-31,79.41,$-0.60,0.0
2022-04-30,97.13,$0.10,998.28
2022-01-31,94.82,$3.34,28.4
2021-10-31,109.53,$4.31,25.44
2021-07-31,118.42,$8.48,13.96
2021-04-30,126.09,$10.33,12.21
2021-01-31,106.92,$5.19,20.6
2020-10-31,81.83,$5.74,14.26
2020-07-31,86.15,$1.95,44.08
2020-04-30,87.77,$-0.06,0.0
2020-01-31,107.37,$4.47,24.0
2019-10-31,104.72,$4.13,25.37
2019-07-31,101.01,$4.50,22.45
2019-04-30,92.8,$4.52,20.51
2019-01-31,87.53,$4.43,19.74
2018-10-31,93.81,$4.22,22.26
2018-07-31,82.66,$4.06,20.38
2018-04-30,76.23,$3.35,22.77
2018-01-31,77.46,$3.45,22.45
2017-10-31,59.57,$3.95,15.09
2017-07-31,51.76,$3.85,13.46
2017-04-30,60.67,$4.33,14.0
2017-01-31,61.55,$4.38,14.07
2016-07-31,57.33,$2.98,19.22
2016-04-30,52.51,$2.59,20.27
2016-01-31,51.91,$2.36,21.99
2015-10-31,46.57,$1.50,31.11
2015-07-31,48.82,$2.00,24.47
2015-04-30,45.3,$1.64,27.66
2016-10-31,58.11,$1.21,47.84
2015-01-31,41.92,$1.74,24.13
2014-10-31,36.81,$1.53,24.11
2014-07-31,29.29,$1.66,17.69
2014-04-30,30.88,$1.35,22.88
2014-01-31,30.72,$1.09,28.12
2013-10-31,34.9,$0.97,36.1
2013-07-31,30.38,$1.06,28.65
2013-04-30,29.66,$1.30,22.85
2013-01-31,26.73,$1.25,21.45
2012-10-31,27.22,$1.36,20.03
2012-07-31,29.61,$1.63,18.16
2012-04-30,27.35,$1.47,18.57
2012-01-31,22.54,$0.88,25.67
2011-10-31,19.4,$0.81,24.07
2011-07-31,16.71,$0.57,29.09
2011-04-30,16.2,$0.61,26.44
2011-01-31,14.29,$0.99,14.45
2010-10-31,12.9,$1.12,11.52
2010-07-31,11.48,$1.25,9.21
2010-04-30,12.17,$1.37,8.92
2010-01-31,9.95,$1.46,6.82
2009-10-31,9.51,$1.61,5.92
