Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,208.99,,39.61
2024-03-31,213.15,$5.28,40.4
2023-12-31,178.46,$4.48,39.81
2023-09-30,151.28,$4.10,36.9
2023-06-30,171.33,$3.68,46.58
2023-03-31,160.52,$-0.12,0.0
2022-12-31,153.62,$-0.56,0.0
2022-09-30,156.27,$0.72,217.35
2022-06-30,148.66,$1.21,123.11
2021-12-31,160.85,$5.76,27.95
2021-09-30,143.45,$7.41,19.36
2021-06-30,134.07,$7.70,17.41
2021-03-31,122.95,$7.78,15.8
2020-12-31,111.85,$6.77,16.51
2022-03-31,153.4,$5.34,28.75
2020-09-30,106.84,$5.05,21.17
2020-06-30,99.5,$4.53,21.96
2020-03-31,86.52,$4.55,19.03
2019-12-31,106.03,$4.81,22.05
2019-09-30,106.51,$4.14,25.74
2019-06-30,106.39,$4.14,25.71
2019-03-31,95.39,$4.38,21.76
2018-12-31,81.28,$4.34,18.73
2018-09-30,82.53,$3.88,21.26
2018-06-30,73.92,$3.94,18.76
2018-03-31,76.02,$3.84,19.79
2017-12-31,77.57,$3.78,20.51
2017-09-30,69.99,$4.02,17.39
2017-06-30,65.22,$3.82,17.05
2017-03-31,64.47,$3.68,17.52
2016-12-31,62.32,$3.73,16.72
2016-09-30,55.71,$3.29,16.95
2016-06-30,57.54,$3.06,18.8
2016-03-31,50.88,$3.19,15.97
2015-12-31,45.7,$2.84,16.09
2015-09-30,42.35,$2.76,15.34
2015-06-30,39.1,$2.83,13.82
2015-03-31,45.4,$2.43,18.65
2014-12-31,42.66,$2.53,16.83
2014-09-30,39.21,$2.55,15.39
2014-06-30,36.61,$2.62,13.98
2014-03-31,34.14,$2.53,13.47
2013-12-31,36.08,$2.52,14.32
2013-09-30,32.9,$2.62,12.54
2013-06-30,31.88,$2.12,15.03
2013-03-31,30.72,$2.15,14.29
2012-12-31,26.18,$1.69,15.49
2012-09-30,24.62,$1.93,12.78
2012-06-30,25.36,$2.31,10.99
2012-03-31,26.26,$2.04,12.86
2011-12-31,24.32,$2.43,10.01
2011-09-30,23.94,$2.29,10.47
2011-06-30,27.12,$2.41,11.25
2011-03-31,26.93,$2.53,10.65
2010-12-31,26.35,$2.43,10.85
2010-09-30,25.31,$2.65,9.57
2010-06-30,21.96,$2.45,8.97
2010-03-31,23.93,$2.50,9.58
2009-12-31,23.28,$2.40,9.71
