NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,72.81,,0.0
2024-03-31,63.91,$-6.20,0.0
2023-12-31,60.18,$-6.80,0.0
2023-09-30,56.3,$-5.07,0.0
2023-06-30,72.42,$-5.37,0.0
2023-03-31,74.76,$-4.49,0.0
2022-12-31,80.56,$-5.57,0.0
2022-09-30,75.18,$-4.40,0.0
2022-06-30,73.91,$-4.08,0.0
2022-03-31,80.38,$-5.57,0.0
2021-12-31,88.11,$-4.32,0.0
2021-09-30,73.78,$-2.85,0.0
2021-06-30,68.54,$-1.56,0.0
2021-03-31,70.35,$-2.29,0.0
2020-12-31,71.41,$-2.85,0.0
2020-09-30,63.93,$-2.62,0.0
2020-06-30,55.04,$-3.81,0.0
2020-03-31,54.85,$-2.00,0.0
2019-12-31,54.9,$-4.12,0.0
2019-09-30,52.54,$-0.15,0.0
2019-06-30,45.93,$1.06,43.29
2019-03-31,43.07,$-2.25,0.0
2018-12-31,38.47,$2.86,13.47
2018-09-30,37.1,$0.37,101.05
2018-06-30,36.73,$0.68,54.25
2017-12-31,33.87,$0.65,52.0
2017-09-30,31.58,$1.06,29.75
2017-06-30,30.0,$3.01,9.97
2017-03-31,27.29,$0.67,40.72
2016-12-31,25.21,$1.50,16.85
2016-09-30,25.61,$-1.81,0.0
2016-06-30,27.11,$-2.05,0.0
2016-03-31,24.43,$-2.28,0.0
2015-12-31,21.28,$-1.23,0.0
2015-09-30,19.83,$-0.86,0.0
2015-06-30,19.78,$-0.86,0.0
2015-03-31,20.84,$-0.45,0.0
2014-12-31,21.13,$-0.69,0.0
2014-09-30,18.53,$-0.53,0.0
2014-06-30,20.08,$-0.59,0.0
2014-03-31,18.59,$-0.82,0.0
2013-12-31,16.52,$-0.83,0.0
2013-09-30,15.34,$-1.91,0.0
2013-06-30,15.47,$-2.53,0.0
2013-03-31,14.62,$-3.01,0.0
2012-12-31,12.91,$-3.26,0.0
2012-09-30,13.0,$-2.18,0.0
2012-06-30,12.61,$-1.55,0.0
2012-03-31,11.09,$-1.24,0.0
2011-12-31,10.94,$-0.81,0.0
2011-09-30,9.61,$-1.14,0.0
2011-06-30,10.13,$-1.12,0.0
2011-03-31,9.62,$-1.18,0.0
2010-12-31,8.98,$-1.22,0.0
2010-09-30,9.31,$-1.31,0.0
2010-06-30,8.26,$-1.38,0.0
2010-03-31,8.11,$-1.26,0.0
2009-12-31,8.77,$-0.95,0.0
2009-09-30,9.09,$-0.45,0.0
