WestRock Price to Free Cash Flow Ratio Historical Data,WestRock Price to Free Cash Flow Ratio Historical Data,WestRock Price to Free Cash Flow Ratio Historical Data,WestRock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.71,,25.33
2024-03-31,49.16,$2.00,24.55
2023-12-31,40.99,$2.97,13.8
2023-09-30,35.06,$2.78,12.59
2023-06-30,28.24,$2.64,10.71
2023-03-31,29.32,$3.38,8.67
2022-12-31,33.54,$4.11,8.17
2022-09-30,29.24,$4.54,6.44
2022-06-30,37.49,$5.05,7.42
2022-03-31,44.03,$4.62,9.53
2021-12-31,41.31,$3.82,10.82
2021-09-30,46.17,$5.51,8.38
2021-06-30,49.08,$6.54,7.5
2021-03-31,47.81,$6.43,7.44
2020-12-31,39.8,$6.20,6.42
2020-09-30,31.6,$4.38,7.22
2020-06-30,25.54,$4.01,6.37
2020-03-31,25.34,$3.62,7.0
2019-12-31,38.04,$4.18,9.11
2019-09-30,31.94,$4.19,7.62
2019-06-30,31.55,$3.91,8.07
2019-03-31,32.77,$4.04,8.12
2018-12-31,31.89,$3.80,8.4
2018-09-30,44.69,$3.70,12.06
2018-06-30,47.32,$1.25,37.93
2018-03-31,52.87,$1.27,41.71
2017-12-31,51.73,$1.72,30.13
2017-09-30,46.09,$2.90,15.9
2017-06-30,45.71,$4.40,10.39
2017-03-31,41.67,$4.05,10.3
2016-12-31,40.36,$3.68,10.96
2016-09-30,38.23,$3.58,10.68
2016-06-30,30.39,$3.11,9.77
2016-03-31,27.34,$5.16,5.3
