U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,40.55,,6.11
2024-03-31,44.7,$6.63,6.74
2023-12-31,42.8,$5.47,7.82
2023-09-30,32.33,$9.78,3.31
2023-06-30,31.84,$9.67,3.29
2023-03-31,34.24,$9.02,3.8
2022-12-31,40.87,$14.17,2.88
2022-09-30,37.37,$10.02,3.73
2022-06-30,42.16,$9.46,4.46
2022-03-31,48.21,$11.71,4.12
2021-12-31,50.53,$6.62,7.63
2021-09-30,53.04,$5.46,9.71
2021-06-30,50.45,$5.84,8.64
2021-03-31,48.62,$1.53,31.68
2020-12-31,40.65,$2.46,16.52
2020-09-30,31.0,$3.13,9.92
2020-06-30,31.46,$2.89,10.89
2020-03-31,29.1,$3.83,7.6
2019-12-31,49.5,$3.09,16.03
2019-09-30,45.88,$4.74,9.68
2019-06-30,43.11,$4.80,8.99
2019-03-31,39.37,$6.39,6.16
2018-12-31,37.05,$6.45,5.74
2018-09-30,42.47,$4.73,8.97
2018-06-30,39.94,$3.87,10.33
2018-03-31,40.08,$2.84,14.14
2017-12-31,42.28,$3.85,10.99
2017-09-30,42.05,$5.17,8.14
2017-06-30,40.51,$4.37,9.27
2017-03-31,39.97,$4.25,9.41
2016-12-31,39.65,$3.10,12.81
2016-09-30,32.93,$3.30,9.97
2016-06-30,30.76,$4.60,6.69
2016-03-31,30.76,$4.70,6.54
2015-12-31,32.13,$4.96,6.48
2015-09-30,30.7,$4.01,7.66
2015-06-30,32.29,$2.72,11.88
2015-03-31,32.31,$2.40,13.44
2014-12-31,33.06,$2.94,11.24
2014-09-30,30.6,$3.96,7.72
2014-06-30,31.51,$4.81,6.56
2014-03-31,31.0,$6.81,4.55
2013-12-31,29.06,$6.19,4.69
2013-09-30,26.16,$6.85,3.82
2013-06-30,25.7,$5.80,4.43
2013-03-31,23.96,$3.47,6.9
2012-12-31,22.43,$4.20,5.34
2012-09-30,23.94,$2.59,9.23
2012-06-30,22.32,$2.45,9.1
2012-03-31,21.85,$3.49,6.25
2011-12-31,18.54,$5.11,3.63
2011-09-30,16.06,$5.82,2.76
2011-06-30,17.31,$5.23,3.31
2011-03-31,17.85,$4.46,4.0
2010-12-31,18.13,$2.73,6.64
2010-09-30,14.5,$3.35,4.33
2010-06-30,14.96,$5.73,2.61
2010-03-31,17.29,$4.54,3.81
2009-12-31,15.01,$4.09,3.67
