Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,195.53,,157.93
2024-03-31,172.98,$1.24,139.71
2023-12-31,167.91,$1.48,113.76
2023-09-30,155.19,$1.77,87.55
2023-06-30,174.49,$3.45,50.53
2023-03-31,178.95,$4.77,37.5
2022-12-31,157.82,$6.40,24.66
2022-09-30,146.72,$6.48,22.65
2022-06-30,144.72,$6.39,22.63
2022-03-31,171.64,$6.98,24.6
2021-12-31,175.17,$6.80,25.74
2021-09-30,177.56,$7.70,23.07
2021-06-30,176.68,$7.01,25.22
2021-03-31,172.66,$6.88,25.08
2020-12-31,149.03,$5.97,24.98
2020-09-30,128.76,$5.52,23.34
2020-06-30,113.7,$6.07,18.73
2020-03-31,88.75,$5.96,14.89
2019-12-31,113.13,$6.13,18.47
2019-09-30,113.1,$6.31,17.93
2019-06-30,99.83,$6.14,16.27
2019-03-31,92.27,$6.11,15.11
2018-12-31,81.59,$6.13,13.31
2018-09-30,91.87,$5.95,15.44
2018-06-30,93.88,$5.71,16.45
2018-03-31,87.95,$4.88,18.04
2017-12-31,87.91,$4.65,18.9
2017-09-30,74.97,$4.24,17.67
2017-06-30,63.95,$4.00,15.99
2017-03-31,66.55,$4.18,15.94
2016-12-31,59.9,$4.00,14.98
2016-09-30,57.19,$4.16,13.75
2016-06-30,50.78,$4.11,12.35
2016-03-31,46.24,$3.85,12.01
2015-12-31,43.81,$3.79,11.55
2015-09-30,39.33,$3.67,10.73
2015-06-30,40.63,$3.63,11.19
2015-03-31,44.83,$3.60,12.44
2014-12-31,41.65,$3.53,11.8
2014-09-30,36.89,$3.22,11.46
2014-06-30,36.74,$2.94,12.49
2014-03-31,36.01,$2.81,12.81
2013-12-31,33.3,$2.69,12.38
2013-09-30,30.33,$2.57,11.82
2013-06-30,26.05,$2.57,10.14
2013-03-31,26.31,$2.51,10.48
2012-12-31,22.76,$2.55,8.94
2012-09-30,20.15,$2.37,8.49
2012-06-30,20.86,$2.28,9.14
2012-03-31,24.3,$2.12,11.44
2011-12-31,20.94,$2.10,9.98
2011-09-30,19.07,$2.28,8.35
2011-06-30,23.39,$2.23,10.51
2011-03-31,24.53,$2.16,11.37
2010-12-31,22.98,$2.28,10.07
2010-09-30,19.11,$1.86,10.28
2010-06-30,16.31,$1.56,10.48
2010-03-31,17.07,$1.72,9.92
2009-12-31,18.08,$1.49,12.14
