QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,212.53,,72.61
2024-03-31,168.6,$2.93,57.6
2023-09-30,109.35,$8.86,12.34
2023-06-30,116.39,$9.08,12.82
2023-03-31,123.86,$9.42,13.15
2022-12-31,106.09,$10.58,10.03
2022-09-30,108.39,$10.03,10.8
2023-12-31,143.3,$7.74,18.51
2022-06-30,121.85,$5.85,20.82
2022-03-31,145.0,$6.30,23.02
2021-12-31,172.82,$6.48,26.67
2021-09-30,121.42,$7.53,16.13
2021-06-30,133.93,$8.18,16.38
2021-03-31,123.61,$6.94,17.81
2020-12-31,141.3,$5.47,25.85
2020-09-30,108.68,$3.84,28.34
2020-06-30,83.79,$3.59,23.31
2020-03-31,61.67,$6.08,10.14
2019-12-31,79.83,$5.95,13.42
2019-09-30,68.5,$5.41,12.67
2019-06-30,67.78,$10.38,6.53
2019-03-31,50.35,$7.85,6.42
2018-12-31,49.68,$7.54,6.59
2018-09-30,62.21,$8.42,7.39
2018-06-30,48.04,$3.94,12.18
2018-03-31,46.93,$2.70,17.41
2017-12-31,53.77,$-0.80,0.0
2017-09-30,43.18,$-0.42,0.0
2017-06-30,45.49,$-0.71,0.0
2017-03-31,46.77,$-0.27,0.0
2016-09-30,54.93,$4.74,11.6
2016-06-30,42.6,$5.26,8.1
2016-03-31,40.28,$5.07,7.95
2015-12-31,39.0,$5.83,6.69
2015-09-30,41.51,$3.61,11.51
2016-12-31,52.69,$2.92,18.05
2015-06-30,47.98,$2.76,17.41
2015-03-31,52.76,$3.06,17.24
2014-12-31,56.23,$4.27,13.15
2014-09-30,56.23,$4.52,12.45
2014-06-30,59.24,$5.02,11.8
2014-03-31,58.68,$4.52,12.98
2013-12-31,54.99,$4.89,11.24
2013-09-30,49.62,$4.41,11.25
2013-06-30,44.79,$3.78,11.85
2013-03-31,48.81,$3.07,15.92
2012-12-31,44.94,$2.89,15.53
2012-09-30,45.2,$2.71,16.69
2012-06-30,40.12,$3.00,13.37
2012-03-31,48.83,$3.32,14.72
2011-12-31,39.11,$3.40,11.49
2011-09-30,34.63,$2.55,13.6
2011-06-30,40.26,$2.14,18.78
2011-03-31,38.73,$2.08,18.66
2010-12-31,34.84,$1.49,23.42
2010-09-30,31.65,$2.20,14.38
2010-06-30,22.91,$2.33,9.82
2010-03-31,29.12,$2.32,12.53
2009-12-31,31.96,$4.51,7.08
