Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.34,,17.15
2024-03-31,72.1,$4.28,16.86
2023-12-31,68.3,$10.32,6.62
2023-09-30,54.25,$-1.81,0.0
2023-06-30,55.79,$5.70,9.78
2023-03-31,51.29,$4.35,11.8
2022-12-31,81.27,$0.57,141.74
2022-09-30,69.96,$4.60,15.22
2022-06-30,61.31,$0.82,74.61
2022-03-31,81.57,$-2.25,0.0
2021-12-31,81.19,$5.94,13.66
2021-09-30,70.16,$2.97,23.59
2021-06-30,69.97,$-10.74,0.0
2020-12-31,50.68,$4.34,11.69
2020-09-30,34.48,$3.82,9.02
2020-06-30,31.93,$1.38,23.12
2020-03-31,31.66,$18.19,1.74
2019-12-31,44.62,$12.01,3.72
2021-03-31,62.48,$0.84,74.35
2019-09-30,39.09,$9.06,4.31
2019-06-30,37.39,$5.92,6.31
2019-03-31,39.62,$6.61,6.0
2018-12-31,38.34,$8.73,4.39
2018-09-30,45.26,$0.59,76.76
2018-06-30,46.93,$2.13,22.0
2018-03-31,47.88,$0.40,118.72
2017-12-31,47.0,$-0.92,0.0
2017-09-30,39.95,$3.53,11.32
2017-06-30,39.16,$0.69,56.86
2017-03-31,37.13,$1.53,24.2
2016-12-31,35.84,$2.44,14.68
2016-09-30,28.6,$1.15,24.84
2016-06-30,22.88,$2.38,9.59
2016-03-31,25.26,$1.45,17.46
2015-12-31,29.61,$0.74,40.1
2015-09-30,25.63,$0.70,36.66
2015-06-30,29.26,$0.58,50.84
2015-03-31,27.22,$-0.63,0.0
2014-12-31,26.94,$0.98,27.47
2014-09-30,26.17,$0.85,30.65
2014-06-30,23.93,$0.58,41.17
2013-12-31,22.99,$1.09,21.13
2013-09-30,18.65,$1.37,13.66
2013-06-30,18.68,$0.92,20.35
2013-03-31,15.51,$1.00,15.48
2012-12-31,12.54,$1.04,12.04
2014-03-31,24.23,$0.22,109.74
2012-09-30,11.12,$0.54,20.54
2012-06-30,11.19,$0.10,117.7
2012-03-31,12.38,$0.85,14.5
2011-12-31,9.66,$1.86,5.2
2011-09-30,9.62,$1.11,8.68
2011-06-30,13.97,$1.22,11.45
2011-03-31,15.26,$1.45,10.51
2010-12-31,14.44,$-0.12,0.0
2010-09-30,11.68,$0.91,12.83
2010-06-30,11.87,$0.41,28.96
2010-03-31,15.6,$0.49,31.96
2009-12-31,15.65,$1.12,14.0
