Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,45.82,,10.43
2024-03-31,49.8,$4.40,11.33
2023-12-31,44.55,$4.09,10.9
2023-09-30,46.12,$4.48,10.29
2023-06-30,46.29,$1.71,27.14
2023-03-31,47.76,$4.30,11.11
2022-12-31,57.02,$5.27,10.81
2022-09-30,54.5,$5.35,10.19
2022-06-30,48.85,$8.48,5.76
2022-03-31,51.53,$6.32,8.16
2021-12-31,37.74,$4.47,8.45
2021-09-30,29.83,$3.11,9.58
2021-06-30,24.1,$1.64,14.67
2021-03-31,17.83,$1.06,16.83
2020-12-31,12.75,$1.41,9.06
2020-09-30,7.58,$1.24,6.12
2020-03-31,5.3,$0.99,5.35
2019-12-31,19.69,$1.23,16.05
2019-09-30,18.18,$0.73,25.02
2019-06-30,21.47,$-0.64,0.0
2019-03-31,23.67,$-0.35,0.0
2018-12-31,16.86,$-0.07,0.0
2020-06-30,8.78,$-0.08,0.0
2018-09-30,29.79,$-0.17,0.0
2018-06-30,32.72,$0.14,227.56
2018-03-31,23.62,$-0.10,0.0
2017-12-31,30.7,$0.10,295.78
2017-09-30,27.18,$1.73,15.7
2017-06-30,23.63,$8.19,2.89
2017-03-31,30.78,$8.02,3.84
2016-12-31,33.65,$3.20,10.52
2016-09-30,32.46,$1.67,19.43
2016-06-30,26.63,$-4.36,0.0
2016-03-31,20.13,$-5.65,0.0
2015-12-31,23.25,$-2.18,0.0
2015-09-30,26.75,$-4.14,0.0
2015-06-30,42.65,$0.13,335.01
2015-03-31,43.07,$7.90,5.45
2014-12-31,43.53,$-5.67,0.0
2014-09-30,48.28,$-2.58,0.0
2014-06-30,56.03,$-7.22,0.0
2014-03-31,47.08,$-14.75,0.0
2013-12-31,43.37,$-2.25,0.0
2013-09-30,40.34,$-4.20,0.0
2013-06-30,36.1,$-4.95,0.0
2013-03-31,39.1,$-4.08,0.0
2012-12-31,35.94,$-4.50,0.0
2012-09-30,41.62,$-2.24,0.0
2012-06-30,39.77,$-3.04,0.0
2012-03-31,48.6,$-4.14,0.0
2011-12-31,42.25,$-2.83,0.0
2011-09-30,37.68,$-3.83,0.0
2011-06-30,53.42,$-3.18,0.0
2011-03-31,62.07,$6.51,9.54
2010-12-31,53.0,$8.71,6.08
2010-09-30,43.61,$10.26,4.25
2010-06-30,40.93,$10.62,3.86
2009-12-31,49.16,$-0.25,0.0
2009-09-30,44.92,$2.28,19.69
