EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,36.97,,29.88
2024-03-31,36.93,$1.24,29.84
2023-12-31,38.34,$2.81,13.66
2023-09-30,40.09,$4.29,9.33
2023-06-30,40.49,$6.78,5.97
2023-03-31,31.27,$6.10,5.13
2022-12-31,32.99,$5.08,6.49
2022-09-30,39.6,$5.54,7.15
2022-06-30,33.31,$3.07,10.85
2022-03-31,33.21,$3.00,11.08
2021-12-31,20.93,$1.58,13.23
2021-09-30,19.64,$-2.65,0.0
2021-06-30,21.36,$-1.31,0.0
2021-03-31,17.83,$0.28,64.63
2020-12-31,12.2,$-0.76,0.0
2020-09-30,12.41,$0.61,20.3
2020-03-31,6.79,$-0.03,0.0
2019-12-31,10.4,$0.98,10.65
2019-09-30,10.13,$-4.47,0.0
2019-06-30,15.01,$-2.35,0.0
2019-03-31,19.67,$-1.04,0.0
2018-12-31,17.88,$-4.03,0.0
2020-06-30,11.42,$2.14,5.35
2018-09-30,22.71,$3.23,7.04
2018-06-30,28.31,$-4.30,0.0
2018-03-31,24.36,$-2.22,0.0
2017-12-31,29.17,$-6.35,0.0
2017-09-30,33.42,$-12.20,0.0
2017-03-31,31.27,$-7.35,0.0
2016-12-31,33.45,$-9.20,0.0
2016-09-30,37.13,$-6.16,0.0
2016-06-30,39.57,$-5.28,0.0
2016-03-31,34.36,$-7.25,0.0
2015-12-31,26.62,$-7.96,0.0
2015-09-30,33.05,$-8.62,0.0
2015-06-30,41.49,$-7.77,0.0
2015-03-31,42.26,$-8.03,0.0
2014-12-31,38.59,$-3.94,0.0
2014-09-30,46.65,$-2.78,0.0
2014-06-30,54.46,$-2.49,0.0
2013-12-31,45.51,$0.92,49.31
2013-09-30,44.96,$-5.44,0.0
2013-06-30,40.2,$-5.10,0.0
2013-03-31,34.3,$-4.52,0.0
2012-12-31,29.85,$-5.82,0.0
2014-03-31,49.17,$-2.35,0.0
2012-09-30,29.75,$-3.67,0.0
2012-06-30,26.94,$-0.97,0.0
2012-03-31,24.11,$0.04,632.73
2011-12-31,27.28,$1.74,15.72
2011-09-30,26.47,$1.66,15.99
2011-06-30,25.96,$-1.63,0.0
2011-03-31,24.56,$-2.08,0.0
2010-12-31,21.97,$-3.05,0.0
2010-09-30,17.56,$-4.08,0.0
2010-06-30,17.5,$-3.96,0.0
2010-03-31,19.75,$-4.07,0.0
2017-06-30,30.0,$-4.32,0.0
2009-12-31,21.05,$-1.81,0.0
