Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,270.32,,41.08
2024-03-31,235.38,$6.58,35.77
2023-12-31,238.11,$26.45,9.0
2023-09-30,235.16,$26.40,8.91
2023-06-30,224.69,$26.52,8.47
2023-03-31,190.43,$28.10,6.78
2022-12-31,174.77,$11.69,14.95
2022-09-30,168.65,$11.30,14.92
2022-06-30,170.9,$11.26,15.18
2022-03-31,211.5,$8.72,24.25
2021-12-31,225.02,$5.43,41.42
2021-09-30,196.77,$5.89,33.38
2021-06-30,171.42,$5.36,31.98
2021-03-31,173.06,$3.04,56.98
2020-12-31,202.99,$1.35,150.56
2020-09-30,180.95,$1.18,152.74
2020-06-30,165.95,$1.26,132.06
2019-12-31,145.09,$4.44,32.68
2019-09-30,153.38,$5.93,25.86
2019-06-30,141.83,$7.02,20.19
2019-03-31,128.57,$7.13,18.02
2018-12-31,105.21,$6.11,17.23
2020-03-31,135.68,$5.61,24.17
2018-09-30,116.31,$4.08,28.52
2018-06-30,103.85,$3.78,27.51
2018-03-31,100.34,$3.31,30.28
2017-12-31,92.62,$3.32,27.9
2017-09-30,80.26,$3.06,26.22
2017-06-30,81.4,$2.70,30.19
2017-03-31,78.29,$2.55,30.67
2016-12-31,78.32,$2.46,31.84
2016-09-30,78.42,$2.72,28.79
2016-06-30,78.23,$3.01,26.01
2016-03-31,77.11,$2.95,26.12
2015-12-31,74.18,$2.88,25.72
2015-09-30,71.31,$2.81,25.42
2015-06-30,70.2,$2.54,27.6
2015-03-31,68.89,$2.40,28.75
2014-12-31,61.8,$2.03,30.51
2014-09-30,58.75,$2.10,27.93
2014-06-30,57.91,$2.28,25.42
2014-03-31,57.85,$2.30,25.1
2013-12-31,63.41,$2.10,30.26
2013-09-30,62.68,$2.37,26.49
2013-06-30,57.6,$2.48,23.24
2013-03-31,59.45,$2.23,26.62
2012-12-31,49.18,$2.29,21.44
2012-09-30,45.94,$1.72,26.69
2012-06-30,47.53,$1.79,26.55
2012-03-31,45.32,$2.08,21.77
2011-12-31,38.72,$1.82,21.24
2011-09-30,33.55,$2.07,16.22
2011-06-30,33.4,$1.67,19.95
2011-03-31,31.61,$1.66,19.08
2010-12-31,32.88,$1.60,20.61
2010-09-30,27.02,$2.75,9.82
