Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,71.64,,0.0
2024-03-31,70.73,$-2.25,0.0
2023-12-31,70.7,$-5.32,0.0
2023-09-30,61.91,$-4.98,0.0
2023-06-30,66.45,$-8.04,0.0
2023-03-31,67.54,$-9.29,0.0
2022-12-31,60.24,$-6.69,0.0
2022-09-30,52.96,$-8.44,0.0
2022-06-30,57.85,$-7.86,0.0
2022-03-31,64.13,$-12.16,0.0
2021-12-31,61.81,$-14.46,0.0
2021-09-30,49.72,$-15.29,0.0
2021-06-30,50.64,$-16.70,0.0
2021-03-31,51.32,$-12.05,0.0
2020-12-31,54.41,$-11.29,0.0
2020-09-30,43.57,$-10.32,0.0
2020-06-30,45.45,$-15.22,0.0
2020-03-31,45.85,$-15.18,0.0
2019-12-31,62.39,$-15.20,0.0
2019-09-30,61.87,$-13.48,0.0
2019-06-30,54.36,$-6.21,0.0
2019-03-31,49.94,$-5.88,0.0
2018-12-31,45.34,$-4.09,0.0
2018-09-30,53.48,$-3.79,0.0
2018-06-30,49.54,$-2.66,0.0
2018-03-31,49.38,$-1.42,0.0
2017-12-31,48.58,$-0.75,0.0
2017-09-30,58.73,$-0.61,0.0
2017-06-30,59.09,$-1.28,0.0
2017-03-31,59.75,$-1.39,0.0
2016-12-31,53.67,$-1.50,0.0
2016-09-30,53.45,$0.96,55.7
2016-06-30,57.09,$0.97,58.79
2016-03-31,52.51,$1.50,35.12
2015-12-31,42.96,$0.86,49.77
2015-09-30,45.4,$-0.40,0.0
2015-06-30,39.74,$0.49,81.88
2015-03-31,44.34,$-1.78,0.0
2014-12-31,46.17,$-2.00,0.0
2014-09-30,39.19,$-1.78,0.0
2014-06-30,40.46,$-3.41,0.0
2014-03-31,39.18,$-1.07,0.0
2013-12-31,31.83,$-1.37,0.0
2013-09-30,31.43,$-1.35,0.0
2013-06-30,32.62,$-0.99,0.0
2013-03-31,33.84,$-2.01,0.0
2012-12-31,30.19,$-2.12,0.0
2012-09-30,30.29,$-1.54,0.0
2012-06-30,30.42,$-0.40,0.0
2012-03-31,27.79,$-0.95,0.0
2011-12-31,26.86,$-0.66,0.0
2011-09-30,24.62,$-1.76,0.0
2011-06-30,24.73,$-0.68,0.0
2011-03-31,23.16,$-1.11,0.0
2010-12-31,24.22,$-0.92,0.0
2010-09-30,21.4,$2.99,7.15
2010-06-30,19.56,$2.24,8.74
2010-03-31,20.87,$2.85,7.33
2009-12-31,21.05,$3.62,5.82
