Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,81.64,,20.88
2024-04-30,80.24,$3.91,20.53
2024-01-31,86.82,$3.70,23.46
2023-10-31,69.4,$3.03,22.87
2023-07-31,85.58,$3.33,25.66
2023-04-30,88.0,$3.44,25.61
2023-01-31,80.27,$3.11,25.83
2022-10-31,83.03,$3.59,23.15
2022-07-31,87.25,$4.24,20.57
2022-04-30,97.66,$4.42,22.08
2022-01-31,96.28,$4.21,22.89
2021-10-31,110.82,$4.26,26.01
2021-07-31,120.83,$4.32,27.95
2021-04-30,119.86,$3.61,33.22
2021-01-31,101.42,$3.42,29.66
2020-10-31,91.16,$3.52,25.92
2020-07-31,86.95,$3.52,24.7
2020-04-30,87.42,$4.46,19.62
2020-01-31,102.76,$4.91,20.93
2019-10-31,96.48,$4.65,20.73
2019-07-31,89.86,$4.19,21.46
2019-04-30,77.86,$4.33,18.0
2019-01-31,77.07,$3.57,21.59
2018-10-31,77.88,$3.56,21.86
2018-07-31,77.84,$3.34,23.29
2018-04-30,68.73,$2.64,26.0
2018-01-31,73.67,$3.14,23.47
2017-10-31,69.06,$3.12,22.12
2017-07-31,71.6,$3.51,20.4
2017-04-30,70.48,$4.04,17.43
2017-01-31,64.14,$3.70,17.33
2016-10-31,68.79,$3.51,19.59
2016-07-31,73.14,$3.38,21.63
2016-04-30,65.74,$2.93,22.47
2016-01-31,62.74,$3.47,18.08
2015-10-31,60.78,$4.04,15.05
2015-07-31,64.11,$4.12,15.57
2015-04-30,60.58,$3.91,15.51
2015-01-31,57.87,$3.88,14.91
2014-10-31,55.01,$3.72,14.8
2014-07-31,49.59,$3.82,13.0
2014-04-30,47.02,$4.50,10.44
2014-01-31,45.01,$4.40,10.22
2013-10-31,45.46,$4.21,10.8
2013-07-31,43.52,$4.07,10.7
2013-04-30,36.58,$4.37,8.38
2013-01-31,36.31,$4.15,8.75
2012-10-31,32.2,$3.82,8.42
2012-07-31,30.35,$4.02,7.54
2012-04-30,29.21,$3.76,7.77
2012-01-31,29.32,$3.50,8.39
2011-10-31,26.24,$3.56,7.37
2011-07-31,27.03,$3.28,8.25
2011-04-30,31.1,$3.00,10.38
2011-01-31,28.38,$3.34,8.51
2010-10-31,25.93,$3.52,7.36
2010-07-31,27.03,$3.42,7.9
2010-04-30,31.76,$3.21,9.9
2010-01-31,31.03,$3.13,9.92
2009-10-31,25.71,$4.02,6.4
