Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,334.12,,33.07
2024-03-31,300.2,$10.10,29.71
2023-12-31,243.9,$9.09,26.82
2023-09-30,202.24,$8.26,24.49
2023-06-30,189.93,$6.55,28.99
2023-03-31,181.88,$6.01,30.24
2022-12-31,166.17,$5.20,31.94
2022-09-30,142.62,$3.71,38.47
2022-06-30,127.36,$3.31,38.46
2022-03-31,149.04,$3.70,40.3
2021-12-31,196.33,$5.70,34.46
2021-09-30,167.78,$6.65,25.22
2021-06-30,178.95,$8.82,20.29
2021-03-31,160.89,$7.69,20.93
2020-12-31,140.53,$5.30,26.5
