Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,765.0,,0.0
2024-03-31,820.92,$-2.29,0.0
2023-12-31,797.19,$1.36,584.97
2023-09-30,714.99,$0.81,881.62
2023-06-30,768.3,$2.93,261.89
2023-03-31,703.21,$5.99,117.33
2022-12-31,635.73,$7.48,85.0
2022-09-30,549.49,$11.58,47.47
2022-06-30,631.92,$9.44,66.93
2022-03-31,709.89,$4.33,164.13
2021-12-31,806.18,$-2.19,0.0
2021-09-30,750.37,$-2.05,0.0
2021-06-30,759.58,$-3.53,0.0
2021-03-31,640.6,$-1.61,0.0
2020-12-31,670.28,$1.83,366.86
2020-09-30,710.89,$1.39,512.17
2020-06-30,654.59,$1.37,478.33
2020-03-31,579.77,$1.51,383.8
2019-12-31,539.56,$1.21,444.34
2019-09-30,530.87,$-1.70,0.0
2019-06-30,462.06,$-3.55,0.0
2019-03-31,413.11,$-5.00,0.0
2018-12-31,319.56,$-5.21,0.0
2018-09-30,390.05,$-2.43,0.0
2018-03-31,372.57,$-0.30,0.0
2017-12-31,401.5,$0.17,2360.4
2017-09-30,393.74,$10.96,35.91
2017-06-30,376.94,$-1.64,0.0
2017-03-31,350.04,$10.97,31.92
2016-12-31,310.81,$11.57,26.86
2018-06-30,385.31,$-0.90,0.0
2016-09-30,311.63,$10.23,30.47
2016-06-30,333.8,$-1.97,0.0
2016-03-31,283.28,$-1.47,0.0
2015-12-31,257.51,$-0.84,0.0
2015-09-30,222.53,$1.05,211.21
2015-03-31,187.1,$0.10,1967.4
2014-12-31,180.86,$0.24,762.16
2014-09-30,169.49,$-0.58,0.0
2014-06-30,167.59,$-0.93,0.0
2014-03-31,147.45,$-0.53,0.0
2013-12-31,141.55,$-1.00,0.0
2015-06-30,205.38,$0.62,332.39
2013-09-30,146.5,$-0.78,0.0
2013-06-30,147.35,$-2.02,0.0
2013-03-31,172.55,$-2.49,0.0
2012-12-31,164.48,$-3.03,0.0
2012-09-30,164.36,$-2.53,0.0
2012-06-30,140.11,$-0.47,0.0
2012-03-31,125.6,$-1.48,0.0
2011-12-31,80.89,$-2.63,0.0
2011-09-30,70.86,$-3.43,0.0
2011-06-30,80.58,$-3.95,0.0
2011-03-31,72.67,$-4.96,0.0
2010-12-31,64.82,$-4.49,0.0
2010-09-30,81.64,$-4.04,0.0
2010-06-30,64.79,$-3.11,0.0
2010-03-31,77.65,$-0.85,0.0
2009-12-31,84.67,$-0.35,0.0
