Otis Worldwide Price to Free Cash Flow Ratio Historical Data,Otis Worldwide Price to Free Cash Flow Ratio Historical Data,Otis Worldwide Price to Free Cash Flow Ratio Historical Data,Otis Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,95.92,,28.81
2024-03-31,99.27,$3.33,29.82
2023-12-31,89.47,$3.59,24.91
2023-09-30,80.31,$3.26,24.6
2023-06-30,89.01,$3.12,28.52
2023-03-31,84.4,$2.91,28.97
2022-12-31,78.31,$3.42,22.92
2022-09-30,63.8,$2.95,21.62
2022-06-30,70.42,$3.19,22.11
2022-03-31,76.37,$3.56,21.48
2021-12-31,86.14,$3.69,23.31
2021-09-30,81.18,$3.70,21.91
2021-06-30,80.46,$3.66,22.0
2021-03-31,67.14,$4.23,15.87
