IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,172.46,,11.87
2024-03-31,189.06,$14.53,13.01
2023-12-31,160.48,$14.11,11.38
2023-09-30,136.12,$13.23,10.29
2023-06-30,128.33,$11.93,10.76
2023-03-31,124.02,$10.54,11.77
2022-12-31,131.67,$10.08,13.06
2022-09-30,109.72,$8.54,12.84
2022-06-30,128.75,$9.32,13.82
2022-03-31,117.12,$10.58,11.07
2021-12-31,118.94,$12.29,9.68
2021-09-30,116.48,$15.81,7.37
2021-06-30,121.49,$17.26,7.04
2021-03-31,109.21,$18.29,5.97
2020-12-31,101.81,$17.59,5.79
2020-09-30,97.03,$15.07,6.44
2020-06-30,95.07,$14.50,6.56
2020-03-31,86.17,$14.12,6.1
2019-12-31,103.03,$14.58,7.06
2019-09-30,110.48,$14.96,7.38
2019-06-30,103.57,$15.28,6.78
2019-03-31,104.72,$13.87,7.55
2018-12-31,83.38,$13.21,6.31
2018-09-30,109.52,$14.70,7.45
2018-06-30,100.1,$14.10,7.1
2018-03-31,108.74,$15.58,6.98
2017-12-31,107.64,$14.89,7.23
2017-09-30,100.78,$13.02,7.74
2017-06-30,105.74,$13.43,7.87
2017-03-31,118.54,$13.12,9.04
2016-12-31,112.11,$14.54,7.71
2016-09-30,106.32,$15.94,6.67
2016-06-30,100.72,$15.89,6.34
2016-03-31,99.56,$16.35,6.09
2015-12-31,89.55,$14.29,6.27
2015-09-30,93.45,$14.61,6.4
2015-06-30,103.99,$14.13,7.36
2015-03-31,101.83,$13.77,7.39
2014-12-31,101.08,$13.40,7.54
2014-09-30,118.79,$13.39,8.87
2014-06-30,112.77,$12.98,8.69
2014-03-31,119.06,$12.30,9.68
2013-12-31,115.38,$12.90,8.94
2013-09-30,113.31,$12.61,8.99
2013-06-30,116.36,$13.18,8.83
2013-03-31,129.27,$13.89,9.31
2012-12-31,115.6,$13.77,8.39
2012-09-30,124.64,$14.07,8.86
2012-06-30,117.01,$14.09,8.3
2012-03-31,124.3,$14.08,8.83
2011-12-31,109.12,$13.47,8.1
2011-09-30,103.36,$12.88,8.03
2011-06-30,100.94,$12.63,8.0
2011-03-31,95.53,$12.07,7.92
2010-12-31,85.64,$12.53,6.83
2010-09-30,77.93,$12.14,6.42
2010-06-30,71.38,$12.41,5.75
2010-03-31,73.75,$13.14,5.61
2009-12-31,74.94,$13.16,5.69
