Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,44.47,,2.07
2024-03-31,42.88,$21.48,2.0
2023-12-31,37.74,$20.29,1.86
2023-09-30,29.94,$18.55,1.61
2023-06-30,32.99,$16.30,2.02
2023-03-31,28.06,$15.47,1.81
2022-12-31,31.51,$13.85,2.28
2022-09-30,26.86,$13.76,1.95
2022-06-30,26.13,$13.32,1.96
2022-03-31,32.74,$12.03,2.72
2021-12-31,43.42,$12.47,3.48
2021-09-30,45.53,$12.45,3.66
2021-06-30,44.99,$11.61,3.88
2021-03-31,37.51,$13.27,2.83
2020-12-31,31.83,$12.67,2.51
2020-09-30,23.79,$12.53,1.9
2020-06-30,19.95,$13.85,1.44
2020-03-31,14.31,$12.65,1.13
2019-12-31,31.82,$13.35,2.38
2019-09-30,29.94,$13.41,2.23
2019-06-30,30.26,$13.32,2.27
2019-03-31,27.84,$13.25,2.1
2018-12-31,20.33,$12.51,1.63
2018-09-30,26.72,$12.16,2.2
2018-06-30,28.5,$14.29,1.99
2018-03-31,28.5,$13.21,2.16
2017-12-31,32.69,$12.79,2.56
2017-09-30,26.17,$12.00,2.18
2017-03-31,28.64,$7.85,3.65
2016-12-31,30.17,$7.83,3.85
2016-09-30,23.18,$9.20,2.52
2016-06-30,20.83,$5.82,3.58
2016-03-31,23.62,$5.63,4.19
2015-12-31,25.06,$5.41,4.63
2017-06-30,25.01,$3.97,6.3
2015-09-30,25.79,$6.70,3.85
2015-06-30,27.14,$10.62,2.56
