American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,194.85,,28.43
2024-03-31,194.22,$6.85,28.34
2023-12-31,212.2,$6.26,33.9
2023-09-30,158.76,$6.10,26.02
2023-06-30,187.23,$5.14,36.42
2023-03-31,194.25,$4.64,41.91
2022-12-31,201.4,$3.94,51.14
2022-09-30,201.09,$3.32,60.64
2022-06-30,239.38,$6.20,38.62
2022-03-31,232.6,$6.48,35.88
2021-12-31,270.82,$7.60,35.65
2021-09-30,244.51,$8.78,27.85
2021-06-30,247.69,$6.52,38.01
2021-03-31,217.05,$6.80,31.94
2020-12-31,203.79,$6.39,31.9
2020-09-30,218.27,$6.30,34.66
2020-06-30,232.34,$6.21,37.42
2020-03-31,194.01,$6.24,31.08
2019-12-31,204.77,$6.20,33.04
2019-09-30,196.15,$6.74,29.09
2019-06-30,180.59,$6.51,27.75
2019-03-31,172.53,$6.32,27.31
2018-12-31,138.5,$6.40,21.64
2018-09-30,126.54,$5.48,23.08
2018-06-30,124.86,$5.30,23.57
2018-03-31,124.5,$5.08,24.49
2017-12-31,122.21,$4.92,24.86
2017-09-30,116.51,$4.86,23.97
2017-06-30,112.25,$4.95,22.68
2017-03-31,102.08,$4.93,20.69
2016-12-31,88.76,$4.70,18.87
2016-09-30,94.67,$4.50,21.06
2016-06-30,94.44,$4.01,23.54
2016-03-31,84.27,$3.50,24.08
2015-12-31,79.81,$3.40,23.48
2015-09-30,72.05,$3.19,22.61
2015-06-30,76.01,$3.08,24.66
2015-03-31,76.02,$3.10,24.54
2014-12-31,79.81,$2.90,27.52
2014-09-30,75.31,$2.56,29.45
2014-06-30,72.1,$2.45,29.47
2014-03-31,65.1,$2.17,29.95
2013-12-31,63.47,$2.19,28.97
2013-09-30,58.72,$2.02,29.13
2013-06-30,57.74,$2.04,28.36
2013-03-31,60.29,$2.09,28.84
2012-12-31,60.56,$2.12,28.57
2012-09-30,55.78,$2.31,24.13
2012-06-30,54.45,$2.15,25.38
2012-03-31,48.76,$1.85,26.37
2011-12-31,46.43,$1.61,28.9
2011-09-30,41.38,$1.46,28.32
2011-06-30,40.25,$1.53,26.35
2011-03-31,39.85,$0.68,58.87
2010-12-31,39.72,$0.52,76.69
2010-09-30,39.42,$0.63,62.49
2010-06-30,34.22,$0.57,60.53
2009-12-31,33.23,$1.45,22.85
2009-09-30,28.0,$1.64,17.07
