JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,198.88,,0.0
2024-03-31,199.13,$-11.10,0.0
2023-12-31,168.08,$4.41,38.13
2023-09-30,142.25,$17.96,7.92
2023-06-30,141.68,$-3.39,0.0
2023-03-31,125.96,$12.71,9.91
2022-12-31,128.67,$36.07,3.57
2022-09-30,99.37,$30.12,3.3
2022-06-30,106.14,$43.90,2.42
2022-03-31,127.53,$25.99,4.91
2021-12-31,147.24,$25.80,5.71
2021-09-30,151.31,$-11.39,0.0
2021-06-30,142.95,$-23.79,0.0
2021-03-31,139.09,$-1.40,0.0
2020-12-31,115.28,$-25.88,0.0
2020-09-30,86.55,$8.99,9.63
2020-06-30,83.75,$18.26,4.59
2020-03-31,79.31,$-13.01,0.0
2019-12-31,122.01,$1.27,96.32
2019-09-30,102.19,$-24.03,0.0
2019-06-30,96.39,$-24.66,0.0
2019-03-31,86.62,$-9.78,0.0
2018-12-31,82.85,$4.57,18.12
2018-09-30,95.11,$7.60,12.52
2018-06-30,87.35,$2.28,38.36
2018-03-31,91.73,$-6.90,0.0
2017-12-31,88.75,$-3.03,0.0
2017-09-30,78.81,$4.46,17.66
2017-06-30,75.01,$6.97,10.75
2017-03-31,71.68,$5.44,13.18
2016-12-31,70.03,$5.93,11.81
2016-09-30,53.65,$-1.01,0.0
2016-06-30,49.68,$4.69,10.59
2016-03-31,47.0,$9.79,4.8
2015-12-31,52.04,$19.47,2.67
2015-09-30,47.71,$22.94,2.08
2015-06-30,52.68,$15.53,3.39
2015-03-31,46.78,$9.76,4.79
2014-12-31,48.02,$9.64,4.98
2014-09-30,45.91,$-0.12,0.0
2014-06-30,43.61,$7.80,5.59
2014-03-31,45.67,$26.94,1.69
2013-12-31,43.7,$28.30,1.54
2013-09-30,38.35,$29.30,1.31
2013-06-30,38.89,$17.65,2.2
2013-03-31,34.74,$10.64,3.27
2012-12-31,31.97,$6.56,4.87
2012-09-30,29.22,$15.05,1.94
2012-06-30,25.57,$21.83,1.17
2012-03-31,32.69,$27.07,1.21
2011-12-31,23.47,$24.47,0.96
2011-09-30,21.09,$17.46,1.21
2011-06-30,28.5,$2.38,11.95
2011-03-31,31.92,$-34.08,0.0
2010-12-31,29.33,$-28.93,0.0
2010-09-30,26.29,$-28.23,0.0
2010-06-30,25.25,$-2.09,0.0
2009-12-31,28.64,$31.65,0.9
2009-09-30,30.12,$32.34,0.93
