CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,59.55,,0.0
2024-03-31,59.85,$-0.63,0.0
2023-12-31,57.07,$-0.34,0.0
2023-09-30,51.74,$-1.19,0.0
2023-06-30,56.76,$-3.36,0.0
2023-03-31,58.83,$-4.43,0.0
2022-12-31,60.23,$-5.24,0.0
2022-09-30,54.94,$-4.72,0.0
2022-06-30,63.25,$-2.68,0.0
2022-03-31,65.1,$-1.61,0.0
2021-12-31,60.1,$-0.89,0.0
2021-09-30,54.79,$-1.56,0.0
2021-06-30,53.82,$-1.41,0.0
2021-03-31,55.4,$-1.12,0.0
2020-12-31,54.79,$-3.62,0.0
2020-09-30,54.8,$-2.38,0.0
2020-06-30,51.79,$-2.34,0.0
2020-03-31,51.7,$-2.69,0.0
2019-12-31,54.96,$-1.08,0.0
2019-09-30,55.6,$-1.90,0.0
2019-06-30,50.03,$-2.49,0.0
2019-03-31,47.64,$-1.85,0.0
2018-12-31,42.28,$-1.31,0.0
2018-09-30,41.42,$0.15,276.52
2018-06-30,39.67,$0.74,53.84
2018-03-31,37.71,$0.15,247.95
2017-12-31,39.07,$0.14,274.15
2017-09-30,38.0,$-0.25,0.0
2017-06-30,37.67,$0.16,235.87
2017-03-31,36.17,$0.04,902.04
2016-12-31,33.39,$-0.15,0.0
2016-09-30,33.45,$-0.81,0.0
2016-06-30,36.26,$-0.83,0.0
2016-03-31,33.3,$-0.41,0.0
2015-12-31,28.09,$0.27,102.18
2015-09-30,27.28,$1.39,19.59
2015-06-30,24.38,$0.78,31.34
2015-03-31,26.5,$0.02,1305.39
2014-12-31,26.17,$-0.35,0.0
2014-09-30,22.16,$-1.04,0.0
2014-06-30,23.06,$-0.54,0.0
2014-03-31,21.48,$-0.19,0.0
2013-12-31,19.45,$0.35,55.08
2013-09-30,18.94,$0.58,32.54
2013-06-30,19.38,$0.57,33.88
2013-03-31,19.76,$0.44,45.03
2012-12-31,17.07,$0.05,327.65
2012-09-30,16.33,$-0.80,0.0
2012-06-30,16.13,$-0.66,0.0
2012-03-31,14.95,$-0.12,0.0
2011-12-31,14.84,$1.09,13.62
2011-09-30,13.16,$1.19,11.06
2011-06-30,12.95,$1.15,11.31
2011-03-31,12.78,$1.14,11.26
2010-12-31,11.98,$0.55,21.95
2010-09-30,11.47,$1.57,7.29
2010-06-30,9.24,$0.95,9.73
2010-03-31,9.66,$0.19,49.83
2009-12-31,9.68,$0.13,76.8
