Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,243.53,,28.22
2024-03-31,251.63,$8.63,29.16
2023-12-31,224.42,$8.87,25.29
2023-09-30,195.12,$8.13,24.0
2023-06-30,181.89,$7.82,23.25
2023-03-31,163.91,$7.73,21.22
2022-12-31,146.64,$6.24,23.51
2022-09-30,137.69,$6.43,21.43
2022-06-30,133.38,$5.68,23.47
2022-03-31,172.05,$4.10,41.96
2021-12-31,161.76,$3.06,52.95
2021-09-30,144.97,$1.89,76.71
2021-06-30,133.64,$0.43,312.47
2021-03-31,144.99,$3.24,44.71
2020-12-31,129.14,$5.41,23.85
2020-09-30,90.63,$6.83,13.26
2020-06-30,83.92,$7.65,10.96
2020-03-31,73.23,$6.18,11.84
2019-12-31,147.65,$4.25,34.71
2019-09-30,120.83,$4.12,29.3
2019-06-30,135.78,$4.92,27.6
2019-03-31,120.6,$4.71,25.6
2018-12-31,104.33,$6.44,16.21
2018-09-30,126.43,$8.64,14.63
2018-06-30,120.83,$8.17,14.78
2018-03-31,129.4,$9.08,14.25
2017-12-31,128.86,$8.96,14.38
2017-09-30,104.41,$6.87,15.2
2017-06-30,94.68,$6.36,14.9
2017-03-31,88.61,$6.00,14.77
2016-12-31,77.52,$5.52,14.06
2016-09-30,62.89,$5.55,11.32
2016-06-30,61.81,$5.91,10.45
2016-03-31,65.9,$6.75,9.77
2015-12-31,61.83,$6.90,8.96
2015-09-30,62.71,$6.42,9.77
2015-06-30,68.14,$5.74,11.86
2015-03-31,73.35,$3.04,24.13
2014-12-31,71.08,$2.33,30.45
2014-09-30,63.51,$1.83,34.72
2014-06-30,58.07,$2.55,22.82
2013-12-31,44.42,$2.70,16.47
2013-09-30,37.72,$2.36,15.96
2013-06-30,36.05,$3.32,10.84
2013-03-31,37.56,$3.26,11.51
2012-12-31,33.04,$3.81,8.68
2014-03-31,50.58,$3.11,16.29
2012-09-30,34.53,$2.11,16.4
2012-06-30,34.5,$1.99,17.38
2012-03-31,33.2,$2.15,15.48
2011-12-31,25.51,$2.56,9.98
2011-09-30,22.39,$2.69,8.32
2011-06-30,29.07,$2.37,12.24
2011-03-31,29.07,$2.37,12.25
2010-12-31,33.86,$2.53,13.37
2010-09-30,29.14,$2.70,10.79
2010-06-30,24.32,$2.52,9.66
2010-03-31,25.57,$1.96,13.08
2009-12-31,22.08,$2.03,10.88
