ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,79.88,,20.54
2024-03-31,79.18,$3.89,20.36
2023-12-31,68.38,$5.82,11.75
2023-09-30,60.88,$5.81,10.48
2023-06-30,58.4,$5.37,10.87
2023-03-31,59.26,$5.42,10.94
2022-12-31,60.43,$3.80,15.9
2022-09-30,46.4,$4.08,11.36
2022-06-30,49.48,$3.99,12.41
2022-03-31,62.05,$3.79,16.35
2021-12-31,50.82,$4.13,12.3
2021-09-30,49.43,$3.39,14.57
2021-06-30,46.59,$2.92,15.94
2021-03-31,41.65,$1.38,30.1
2020-12-31,30.83,$-0.69,0.0
2020-09-30,20.22,$-3.02,0.0
2020-06-30,25.01,$-4.69,0.0
2020-03-31,15.89,$-5.96,0.0
2019-12-31,54.43,$-5.08,0.0
2019-09-30,52.33,$-4.34,0.0
2019-06-30,48.23,$-2.37,0.0
2018-12-31,36.84,$0.11,337.33
2018-09-30,45.66,$1.08,42.19
2018-06-30,46.47,$2.88,16.13
2018-03-31,37.38,$3.24,11.54
2017-12-31,34.66,$4.12,8.42
2017-06-30,32.89,$4.63,7.11
2017-03-31,34.56,$4.05,8.53
2016-12-31,35.39,$3.55,9.97
2016-09-30,31.29,$2.45,12.79
2016-06-30,28.5,$1.65,17.25
2016-03-31,17.63,$0.91,19.34
2015-12-31,14.19,$-0.77,0.0
2015-09-30,18.2,$-1.84,0.0
2015-06-30,21.96,$-2.35,0.0
2015-03-31,26.5,$-4.04,0.0
2014-12-31,26.97,$-2.31,0.0
2014-09-30,35.15,$-3.36,0.0
2014-06-30,36.18,$-4.59,0.0
2014-03-31,31.21,$-4.10,0.0
2013-12-31,28.61,$-4.52,0.0
2013-09-30,24.37,$-4.61,0.0
2013-06-30,18.75,$-4.82,0.0
2013-03-31,21.48,$-4.63,0.0
2012-12-31,19.12,$-4.13,0.0
2012-09-30,21.45,$-2.95,0.0
2012-06-30,18.65,$-2.13,0.0
2012-03-31,17.87,$-2.69,0.0
2011-12-31,18.83,$-3.75,0.0
2011-09-30,14.24,$-1.12,0.0
2011-06-30,15.84,$-0.65,0.0
2010-12-31,11.68,$3.16,3.7
2010-09-30,9.39,$4.93,1.9
2010-06-30,8.93,$5.07,1.76
2010-03-31,9.34,$5.38,1.74
2009-12-31,9.03,$3.70,2.44
2011-03-31,14.21,$5.21,2.73
2009-09-30,7.34,$6.01,1.22
2009-06-30,5.83,$4.79,1.22
