Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,139.54,,0.0
2024-02-29,90.52,$-3.01,0.0
2023-11-30,75.94,$-4.57,0.0
2023-08-31,69.66,$-5.60,0.0
2023-05-31,67.8,$-4.34,0.0
2023-02-28,57.37,$-1.81,0.0
2022-11-30,57.07,$0.80,71.4
2022-08-31,55.84,$3.57,15.66
2022-05-31,72.8,$5.06,14.38
2022-02-28,87.48,$5.06,17.28
2021-11-30,82.61,$4.20,19.66
2021-08-31,72.38,$2.14,33.87
2021-05-31,82.63,$0.49,169.05
2021-02-28,89.89,$-0.58,0.0
2020-11-30,62.94,$-0.67,0.0
2020-08-31,44.69,$0.07,608.91
2020-05-31,47.05,$0.23,208.1
2020-02-29,51.62,$0.46,113.22
2019-11-30,46.66,$1.25,37.46
2019-08-31,44.46,$2.98,14.91
2019-05-31,32.03,$5.22,6.13
2019-02-28,40.15,$6.43,6.25
2018-11-30,37.87,$7.36,5.15
2018-08-31,51.58,$6.93,7.44
2018-05-31,56.56,$6.25,9.05
2018-02-28,47.93,$5.91,8.12
2017-11-30,41.63,$4.45,9.36
2017-08-31,31.4,$2.96,10.6
2017-05-31,30.22,$0.27,113.22
2017-02-28,23.02,$-2.14,0.0
2016-11-30,19.18,$-2.79,0.0
2016-08-31,16.19,$-2.56,0.0
2016-05-31,12.49,$-2.19,0.0
2016-02-29,10.44,$-0.41,0.0
2015-11-30,15.64,$0.36,43.23
2015-08-31,16.12,$1.01,15.89
2015-05-31,27.43,$1.66,16.51
2015-02-28,30.12,$1.89,15.94
2014-11-30,35.31,$2.24,15.79
2014-08-31,32.02,$2.16,14.8
2014-05-31,28.08,$2.37,11.85
2014-02-28,23.76,$2.02,11.76
2013-11-30,20.72,$1.25,16.64
2013-08-31,13.33,$0.35,38.17
2013-05-31,11.47,$0.19,60.21
2013-02-28,8.22,$0.20,41.86
2012-11-30,5.86,$0.51,11.42
2012-08-31,6.1,$0.42,14.56
2012-05-31,5.74,$-0.14,0.0
2012-02-29,8.4,$-0.44,0.0
2011-11-30,5.88,$-0.52,0.0
2011-08-31,5.8,$0.06,95.93
2011-05-31,10.02,$1.25,8.02
2011-02-28,10.93,$1.88,5.83
2010-11-30,7.14,$2.45,2.92
2010-08-31,6.34,$2.45,2.59
2010-05-31,8.93,$2.16,4.14
2010-02-28,8.9,$1.51,5.9
2009-11-30,7.39,$1.22,6.03
