Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,105.72,,37.55
2024-03-31,113.09,$2.82,40.17
2023-12-31,108.99,$2.89,37.68
2023-09-30,95.36,$2.56,37.25
2023-06-30,106.84,$3.12,34.25
2023-03-31,98.75,$3.88,25.47
2022-12-31,106.58,$4.42,24.09
2022-09-30,93.5,$4.82,19.39
2022-06-30,104.52,$4.77,21.93
2022-03-31,113.42,$4.57,24.84
2021-12-31,134.38,$4.83,27.8
2021-09-30,112.36,$5.21,21.56
2021-06-30,109.85,$4.83,22.74
2021-03-31,113.13,$4.26,26.58
2020-12-31,102.94,$3.20,32.12
2020-09-30,101.98,$2.57,39.64
2020-06-30,85.35,$2.56,33.32
2020-03-31,73.37,$2.51,29.2
2019-12-31,80.42,$2.53,31.84
2019-09-30,77.16,$2.15,35.96
2019-06-30,77.26,$2.31,33.45
2019-03-31,73.14,$2.51,29.11
2018-12-31,65.87,$2.77,23.76
2018-09-30,66.53,$2.78,23.91
2018-06-30,55.07,$2.74,20.08
2018-03-31,53.85,$2.83,19.0
2017-12-31,51.04,$2.54,20.13
2017-09-30,47.5,$2.36,20.12
2017-06-30,43.03,$1.98,21.7
2017-03-31,39.08,$1.80,21.66
2016-12-31,33.58,$1.40,23.92
2016-09-30,36.74,$1.22,30.15
2016-06-30,33.94,$1.13,30.16
2016-03-31,35.9,$1.16,30.96
2015-12-31,38.3,$1.23,31.08
2015-09-30,34.1,$1.47,23.27
2015-06-30,41.41,$1.55,26.68
2015-03-31,38.89,$1.50,26.01
2014-12-31,37.59,$1.70,22.09
2014-09-30,34.54,$1.92,17.98
2014-06-30,33.79,$1.47,22.94
2014-03-31,31.62,$1.32,23.97
2013-12-31,31.3,$1.38,22.61
2013-09-30,26.99,$1.25,21.52
2013-06-30,28.25,$2.96,9.54
2013-03-31,28.5,$3.73,7.65
2012-12-31,25.29,$4.72,5.36
2012-09-30,26.38,$4.71,5.6
2012-06-30,24.71,$4.50,5.5
2012-03-31,23.4,$4.82,4.86
2011-12-31,21.38,$4.74,4.51
2011-09-30,19.36,$5.35,3.62
2011-06-30,19.83,$5.20,3.82
2011-03-31,18.4,$5.18,3.55
2010-12-31,17.9,$4.96,3.61
2010-09-30,19.44,$4.68,4.15
2010-06-30,17.33,$4.91,3.53
2010-03-31,19.43,$4.51,4.31
2009-12-31,19.85,$3.98,4.99
