Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,140.96,,22.26
2024-03-31,153.73,$6.33,24.28
2023-12-31,129.8,$7.64,16.99
2023-09-30,136.5,$6.59,20.7
2023-06-30,118.89,$6.95,17.1
2023-03-31,117.51,$2.56,45.82
2022-12-31,120.07,$2.55,47.05
2022-09-30,108.49,$2.75,39.39
2022-06-30,126.92,$2.32,54.66
2022-03-31,137.35,$5.55,24.73
2021-12-31,138.5,$6.42,21.58
2021-09-30,131.63,$4.83,27.26
2021-06-30,132.31,$6.50,20.36
2021-03-31,128.0,$7.88,16.23
2020-12-31,107.7,$9.48,11.36
2020-09-30,91.5,$7.51,12.19
2020-06-30,83.46,$2.96,28.17
2020-03-31,77.81,$1.36,57.29
2019-09-30,89.47,$-3.56,0.0
2019-06-30,82.35,$1.70,48.52
2019-03-31,73.21,$2.05,35.77
2018-12-31,56.78,$2.50,22.75
2018-09-30,74.3,$4.08,18.23
2019-12-31,88.0,$0.26,344.17
2018-06-30,61.41,$2.69,22.83
2018-03-31,57.08,$-1.24,0.0
2017-12-31,63.5,$0.67,94.14
2017-09-30,55.95,$1.88,29.76
2017-06-30,52.08,$2.48,20.97
2016-09-30,49.25,$5.13,9.6
2016-06-30,47.43,$5.20,9.12
2016-03-31,41.47,$2.49,16.63
2015-12-31,39.95,$2.84,14.07
2015-09-30,35.64,$2.31,15.44
2017-03-31,52.78,$1.28,41.08
2015-06-30,38.68,$4.25,9.11
2015-03-31,43.01,$4.04,10.65
2014-12-31,42.56,$3.28,12.98
2014-09-30,46.49,$4.63,10.05
2014-06-30,50.74,$2.80,18.13
2014-03-31,60.47,$2.01,30.02
2013-12-31,59.98,$3.94,15.24
2013-09-30,55.4,$2.49,22.29
2013-06-30,52.5,$4.37,12.01
2013-03-31,53.56,$4.24,12.63
2016-12-31,54.28,$3.42,15.87
2012-12-31,40.54,$2.36,17.19
2012-09-30,38.5,$1.63,23.56
2012-06-30,36.05,$1.33,27.18
2012-03-31,42.25,$1.39,30.37
2011-12-31,38.64,$0.99,39.14
2011-09-30,30.75,$1.11,27.63
2011-06-30,41.19,$0.18,229.96
2011-03-31,48.98,$1.04,47.28
2010-12-31,43.66,$0.66,65.83
2010-09-30,36.85,$1.50,24.54
2010-06-30,34.7,$2.01,17.27
2010-03-31,43.03,$3.35,12.86
2009-12-31,35.82,$5.79,6.18
