McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,259.39,,26.06
2024-03-31,281.95,$9.96,28.32
2023-12-31,294.83,$10.04,29.38
2023-09-30,260.4,$9.86,26.4
2023-06-30,293.38,$9.07,32.36
2023-03-31,273.46,$7.76,35.23
2022-12-31,256.26,$7.46,34.37
2022-09-30,223.13,$7.84,28.46
2022-06-30,237.44,$8.11,29.29
2022-03-31,236.51,$5.71,41.43
2021-12-31,254.96,$5.44,46.89
2021-09-30,228.03,$6.18,36.87
2021-06-30,217.28,$2.63,82.48
2020-12-31,199.49,$6.20,32.17
2020-09-30,202.85,$9.46,21.45
2020-06-30,169.49,$8.44,20.08
2020-03-31,150.91,$11.45,13.18
2019-12-31,179.2,$11.84,15.14
2021-03-31,209.68,$8.51,24.63
2019-09-30,193.47,$6.94,27.89
2019-06-30,186.12,$6.92,26.91
2019-03-31,169.21,$6.10,27.72
2018-12-31,157.24,$5.58,28.17
2018-09-30,147.23,$5.36,27.48
2018-06-30,137.04,$4.70,29.16
2018-03-31,135.91,$4.76,28.53
2017-12-31,148.64,$4.74,31.37
2017-09-30,134.52,$4.28,31.44
2017-06-30,130.72,$4.90,26.67
2017-03-31,109.94,$4.93,22.32
2016-12-31,102.49,$5.02,20.43
2016-09-30,96.39,$5.91,16.31
2016-06-30,99.78,$5.34,18.68
2016-03-31,103.45,$5.40,19.16
2015-12-31,96.51,$5.23,18.46
2015-09-30,79.87,$5.04,15.84
2015-06-30,76.39,$4.55,16.78
2015-03-31,77.61,$1.38,56.41
2014-12-31,74.0,$0.98,75.51
2014-09-30,74.22,$1.52,48.83
2014-06-30,78.19,$1.21,64.63
2013-12-31,74.08,$4.27,17.35
2013-09-30,72.84,$5.81,12.54
2013-06-30,74.35,$5.79,12.85
2013-03-31,74.28,$6.12,12.13
2012-12-31,65.2,$5.84,11.16
2014-03-31,75.48,$4.36,17.31
2012-09-30,67.22,$3.81,17.62
2012-06-30,64.35,$5.01,12.84
2012-03-31,70.76,$5.25,13.49
2011-12-31,71.86,$5.06,14.21
2011-09-30,62.43,$5.60,11.15
2011-03-31,53.33,$3.95,13.51
2010-12-31,53.37,$3.89,13.71
2010-09-30,51.4,$4.50,11.43
2010-06-30,45.1,$2.38,18.98
2010-03-31,45.31,$2.84,15.98
2009-12-31,42.05,$2.79,15.06
2011-06-30,59.55,$2.00,29.75
