CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.11,,8.09
2024-03-31,82.65,$9.04,9.14
2023-12-31,78.46,$11.66,6.73
2023-09-30,84.2,$12.17,6.92
2023-06-30,67.83,$14.04,4.83
2023-03-31,70.4,$14.79,4.76
2022-12-31,82.36,$16.67,4.94
2022-09-30,92.7,$20.91,4.43
2022-06-30,82.25,$18.79,4.38
2022-03-31,98.5,$14.90,6.61
2021-12-31,67.37,$10.92,6.17
2021-09-30,52.88,$5.55,9.52
2021-06-30,48.44,$3.93,12.34
2021-03-31,42.49,$5.60,7.58
2020-12-31,36.0,$4.29,8.39
2020-09-30,28.29,$4.30,6.57
2020-06-30,25.7,$5.37,4.79
2020-03-31,24.54,$5.29,4.64
2019-12-31,42.75,$5.28,8.09
2019-09-30,43.78,$4.95,8.84
2019-06-30,41.56,$5.42,7.67
2019-03-31,36.11,$4.79,7.54
2018-12-31,38.16,$4.71,8.1
2018-09-30,47.43,$4.40,10.78
2018-06-30,38.45,$2.69,14.27
2018-03-31,32.43,$4.82,6.72
2017-12-31,36.3,$5.04,7.21
2017-09-30,29.75,$3.28,9.08
2017-06-30,23.43,$1.55,15.13
2017-03-31,24.32,$-4.22,0.0
2016-12-31,25.86,$-6.78,0.0
2016-09-30,19.79,$-7.50,0.0
2016-06-30,19.32,$-7.06,0.0
2016-03-31,24.88,$-7.07,0.0
2015-12-31,32.05,$-5.29,0.0
2015-09-30,35.03,$-4.15,0.0
2015-06-30,49.91,$-3.21,0.0
2015-03-31,43.84,$-2.41,0.0
2014-12-31,41.91,$-1.47,0.0
2014-09-30,42.7,$-0.94,0.0
2014-06-30,36.56,$1.15,31.82
2014-03-31,39.46,$1.84,21.48
2013-12-31,35.13,$2.21,15.86
2013-09-30,31.63,$3.22,9.83
2013-06-30,25.68,$3.61,7.12
2013-03-31,28.44,$5.83,4.88
2012-12-31,30.3,$5.78,5.24
2012-09-30,33.08,$5.50,6.01
2012-06-30,28.78,$5.75,5.0
2012-03-31,27.07,$5.20,5.2
2011-12-31,21.44,$5.39,3.98
2011-09-30,18.2,$6.90,2.64
2011-06-30,20.85,$5.45,3.83
2011-03-31,20.11,$4.63,4.34
2010-12-31,19.86,$2.91,6.82
2010-09-30,14.02,$1.51,9.28
2010-06-30,9.31,$0.22,41.88
2010-03-31,13.35,$1.04,12.81
2009-12-31,13.28,$1.85,7.17
