Cooper Price to Free Cash Flow Ratio Historical Data,Cooper Price to Free Cash Flow Ratio Historical Data,Cooper Price to Free Cash Flow Ratio Historical Data,Cooper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,91.51,,149.38
2024-04-30,89.06,$0.61,145.38
2024-01-31,23.31,$0.68,34.21
2023-10-31,19.48,$1.08,18.05
2023-07-31,24.45,$1.11,22.09
2023-04-30,23.84,$1.95,12.25
2023-01-31,21.81,$2.14,10.19
2022-10-31,17.08,$2.27,7.54
2022-07-31,20.43,$2.64,7.74
2022-04-30,22.56,$2.44,9.23
2022-01-31,24.89,$2.72,9.17
2021-10-31,26.05,$2.63,9.9
2021-07-31,26.35,$2.64,9.97
2021-04-30,25.67,$2.08,12.33
2021-01-31,22.74,$1.04,21.77
2020-10-31,19.93,$0.89,22.44
2020-07-31,17.67,$0.91,19.5
2020-04-30,17.91,$1.17,15.33
2020-01-31,21.67,$2.30,9.43
2019-10-31,18.18,$2.11,8.63
2019-07-31,21.07,$2.50,8.43
2019-04-30,18.11,$2.81,6.43
2019-01-31,17.41,$2.63,6.61
2018-10-31,16.13,$2.39,6.75
2018-07-31,16.27,$2.26,7.19
2018-04-30,14.28,$1.93,7.41
2018-01-31,15.28,$1.82,8.4
2017-10-31,15.0,$2.35,6.38
2017-07-31,15.22,$2.31,6.58
2017-04-30,12.51,$2.23,5.61
2017-01-31,11.52,$2.00,5.77
2016-10-31,10.99,$1.82,6.03
2016-07-31,11.39,$1.25,9.11
2016-04-30,9.55,$0.90,10.59
2016-01-31,8.18,$0.90,9.06
2015-10-31,9.51,$0.75,12.65
2015-07-31,11.04,$0.99,11.21
2015-04-30,11.11,$1.10,10.09
2015-01-31,9.83,$1.14,8.6
2014-10-31,10.22,$1.11,9.24
2014-07-31,10.03,$1.03,9.71
2014-04-30,8.22,$1.09,7.55
2014-01-31,7.75,$1.14,6.78
2013-10-31,8.05,$1.20,6.73
2013-07-31,7.94,$1.22,6.5
2013-04-30,6.88,$1.17,5.87
2013-01-31,6.32,$1.08,5.87
2012-10-31,5.98,$1.10,5.46
2012-07-31,4.69,$1.09,4.29
2012-04-30,5.49,$1.16,4.72
2012-01-31,4.49,$1.08,4.15
2011-10-31,4.31,$1.20,3.58
2011-07-31,4.76,$0.96,4.98
2011-04-30,4.66,$0.93,5.02
2011-01-31,3.57,$1.04,3.43
2010-10-31,3.07,$1.04,2.94
2010-07-31,2.42,$1.20,2.02
2010-04-30,2.42,$1.19,2.03
2010-01-31,2.2,$1.00,2.2
2009-10-31,1.74,$0.71,2.45
