Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,28.74,,8.75
2024-03-31,28.22,$3.28,8.59
2023-12-31,23.95,$3.34,7.17
2023-09-30,26.4,$3.28,8.06
2023-06-30,22.63,$4.14,5.47
2023-03-31,23.45,$5.33,4.4
2022-12-31,26.4,$5.81,4.55
2022-09-30,21.96,$5.85,3.75
2022-06-30,21.78,$4.71,4.62
2022-03-31,24.26,$3.29,7.37
2021-12-31,15.81,$2.81,5.63
2021-09-30,13.12,$1.93,6.79
2021-06-30,13.01,$1.51,8.59
2021-03-31,10.17,$0.63,16.18
2020-12-31,6.33,$0.21,30.77
2020-09-30,3.86,$0.09,41.66
2020-06-30,5.78,$-0.29,0.0
2020-03-31,3.11,$0.39,7.97
2019-12-31,12.76,$0.20,65.0
2019-09-30,11.48,$0.44,25.98
2019-06-30,13.24,$0.86,15.42
2019-03-31,15.52,$0.66,23.68
2018-12-31,13.28,$2.03,6.54
2018-09-30,21.49,$1.51,14.21
2018-06-30,19.21,$1.25,15.33
2018-03-31,14.82,$3.01,4.93
2017-12-31,15.51,$2.09,7.42
2017-09-30,12.38,$2.77,4.47
2017-06-30,10.77,$2.99,3.61
2017-03-31,14.31,$1.99,7.19
2016-12-31,15.63,$1.12,13.98
2016-09-30,14.23,$0.52,27.17
2016-06-30,13.46,$0.21,62.71
2016-03-31,9.95,$-1.30,0.0
2015-12-31,11.17,$-2.49,0.0
2015-09-30,13.63,$-0.75,0.0
2015-06-30,23.21,$-0.15,0.0
2015-03-31,22.66,$0.57,39.5
2014-12-31,24.38,$5.98,4.07
2014-09-30,32.18,$4.63,6.95
2014-06-30,33.99,$5.12,6.64
2014-03-31,30.09,$4.79,6.28
2013-12-31,29.73,$1.80,16.51
2013-09-30,29.22,$2.38,12.3
2013-06-30,28.8,$0.94,30.68
2013-03-31,27.95,$0.67,41.65
2012-12-31,25.29,$0.17,146.03
2012-09-30,24.26,$0.15,156.82
2012-06-30,20.85,$1.07,19.4
2012-03-31,25.68,$3.31,7.76
2011-12-31,23.59,$5.68,4.15
2011-09-30,17.3,$7.71,2.24
2011-06-30,25.79,$7.21,3.58
2011-03-31,25.97,$6.61,3.93
2010-12-31,17.95,$5.19,3.46
2010-09-30,15.92,$7.36,2.16
2010-06-30,14.84,$7.20,2.06
2010-03-31,14.99,$6.04,2.48
2009-12-31,14.67,$3.84,3.82
