Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,113.19,,13.36
2024-02-29,143.99,$8.47,17.0
2023-11-30,115.18,$8.84,13.02
2023-08-31,114.21,$7.55,15.13
2023-05-31,89.29,$7.31,12.22
2023-02-28,82.73,$6.94,11.93
2022-11-30,71.86,$6.43,11.18
2022-08-31,59.95,$5.61,10.69
2022-05-31,61.09,$4.71,12.98
2022-02-28,57.33,$5.72,10.03
2021-11-30,57.89,$4.56,12.7
2021-08-31,61.11,$4.21,14.52
2021-05-31,55.76,$3.39,16.44
2021-02-28,42.58,$3.11,13.68
2020-11-30,37.63,$3.00,12.54
2020-08-31,33.55,$2.97,11.3
2020-05-31,29.33,$5.93,4.94
2020-02-29,31.32,$2.22,14.12
2019-11-30,37.88,$3.28,11.54
2019-08-31,28.04,$2.56,10.95
2019-05-31,23.93,$-2.26,0.0
2019-02-28,27.56,$-5.43,0.0
2018-11-30,24.16,$-7.44,0.0
2018-08-31,28.51,$-10.24,0.0
2018-05-31,27.2,$-22.56,0.0
2018-02-28,25.98,$-17.66,0.0
2017-11-30,27.59,$-15.44,0.0
2017-08-31,29.89,$-10.79,0.0
2017-05-31,28.45,$1.45,19.65
2017-02-28,24.19,$2.28,10.61
2016-11-30,19.99,$0.57,34.84
2016-08-31,19.96,$0.09,213.66
2016-05-31,17.9,$-0.16,0.0
2016-02-29,19.47,$-0.77,0.0
2015-11-30,23.79,$0.98,24.17
2015-08-31,17.93,$1.50,11.99
2015-05-31,22.68,$0.33,69.2
2015-02-28,20.21,$1.17,17.21
2014-11-30,19.02,$0.54,35.15
2014-08-31,19.7,$0.18,108.67
2014-05-31,17.11,$1.27,13.47
2014-02-28,16.76,$1.97,8.52
2013-11-30,18.27,$2.05,8.92
2013-08-31,20.49,$2.37,8.64
2013-05-31,17.95,$2.91,6.17
2013-02-28,16.69,$1.23,13.54
2012-11-30,16.87,$0.57,29.55
2012-08-31,20.13,$0.72,27.79
2012-05-31,16.84,$0.39,43.5
2012-02-29,22.65,$0.23,99.26
2011-11-30,17.72,$2.71,6.54
2011-08-31,14.67,$1.78,8.25
2011-05-31,18.71,$1.60,11.7
2011-02-28,18.52,$0.98,18.92
2010-11-30,13.02,$-0.84,0.0
2010-08-31,8.79,$0.18,48.72
2010-05-31,11.67,$0.11,108.54
2010-02-28,12.87,$0.68,18.93
2009-11-30,11.24,$1.51,7.43
