Netflix Price to Free Cash Flow Ratio Historical Data,Netflix Price to Free Cash Flow Ratio Historical Data,Netflix Price to Free Cash Flow Ratio Historical Data,Netflix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,686.12,,44.07
2024-03-31,607.33,$15.57,39.01
2023-12-31,486.88,$15.41,31.6
2023-09-30,377.6,$12.61,29.95
2023-06-30,440.49,$9.43,46.71
2023-03-31,345.48,$6.50,53.19
2022-12-31,294.88,$3.59,82.22
2022-09-30,235.44,$1.61,146.67
2022-06-30,174.87,$0.37,470.21
2022-03-31,374.59,$-0.05,0.0
2021-12-31,602.44,$-0.29,0.0
2021-09-30,610.34,$0.34,1790.38
2021-06-30,528.21,$3.06,172.79
2021-03-31,521.66,$5.42,96.29
2020-12-31,540.73,$4.25,127.31
2020-09-30,500.03,$1.39,358.55
2020-06-30,455.04,$-2.35,0.0
2020-03-31,375.5,$-5.62,0.0
2019-12-31,323.57,$-6.95,0.0
2019-09-30,267.62,$-6.38,0.0
2019-06-30,367.32,$-6.77,0.0
2019-03-31,356.56,$-6.69,0.0
2018-12-31,267.66,$-6.33,0.0
2018-09-30,374.13,$-4.57,0.0
2018-06-30,391.43,$-3.97,0.0
2018-03-31,295.35,$-4.10,0.0
2017-12-31,191.96,$-4.38,0.0
2017-09-30,181.35,$-4.65,0.0
2017-06-30,149.41,$-4.76,0.0
2017-03-31,147.81,$-3.95,0.0
2016-12-31,123.8,$-3.61,0.0
2016-09-30,98.55,$-2.79,0.0
2016-06-30,91.48,$-2.21,0.0
2016-03-31,102.23,$-2.14,0.0
2015-12-31,114.38,$-1.93,0.0
2015-09-30,103.24,$-1.46,0.0
2015-06-30,93.85,$-1.06,0.0
2015-03-31,59.53,$-0.50,0.0
2014-12-31,48.8,$-0.12,0.0
2014-09-30,64.45,$0.04,1435.51
2014-06-30,62.94,$0.24,266.26
2014-03-31,50.29,$0.21,235.0
2013-12-31,52.6,$0.10,512.13
2013-09-30,44.17,$-0.03,0.0
2013-06-30,30.16,$-0.12,0.0
2013-03-31,27.04,$-0.14,0.0
2012-12-31,13.23,$-0.05,0.0
2012-09-30,7.78,$0.18,43.35
2012-06-30,9.78,$0.31,31.87
2012-03-31,16.43,$0.48,34.4
2011-12-31,9.9,$0.70,14.05
2011-09-30,16.18,$0.78,20.77
2011-06-30,37.53,$0.78,48.14
2011-03-31,33.97,$0.72,47.39
2010-12-31,25.1,$0.64,39.34
2010-09-30,23.17,$0.62,37.09
2010-06-30,15.52,$0.71,21.95
2010-03-31,10.53,$0.73,14.46
2009-12-31,7.87,$0.68,11.53
