Fiserv Price to Free Cash Flow Ratio Historical Data,Fiserv Price to Free Cash Flow Ratio Historical Data,Fiserv Price to Free Cash Flow Ratio Historical Data,Fiserv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,150.27,,27.0
2024-03-31,159.82,$5.57,28.72
2023-12-31,132.84,$6.13,21.68
2023-09-30,112.96,$6.15,18.38
2023-06-30,126.15,$5.05,24.97
2023-03-31,113.03,$5.36,21.08
2022-12-31,101.07,$4.84,20.86
2022-09-30,93.57,$4.32,21.64
2022-06-30,88.97,$3.96,22.46
2022-03-31,101.4,$3.96,25.61
2021-12-31,103.79,$4.28,24.25
2021-09-30,108.5,$4.21,25.75
2021-06-30,106.89,$4.91,21.78
2021-03-31,119.04,$4.88,24.4
2020-12-31,113.86,$4.75,23.96
2020-09-30,103.05,$5.32,19.37
2020-06-30,97.62,$5.15,18.97
2020-03-31,94.99,$4.21,22.57
2019-12-31,115.63,$3.97,29.14
2019-09-30,103.59,$3.13,33.14
2019-06-30,91.16,$2.74,33.29
2019-03-31,88.28,$2.87,30.75
2018-12-31,73.49,$2.88,25.51
2018-09-30,82.38,$2.64,31.26
2018-06-30,74.09,$2.56,28.99
2018-03-31,71.31,$2.59,27.53
2017-12-31,65.57,$2.77,23.64
2017-09-30,64.48,$2.59,24.9
2017-06-30,61.17,$2.63,23.26
2017-03-31,57.66,$2.47,23.36
2016-12-31,53.14,$2.55,20.86
2016-09-30,49.74,$2.64,18.81
2016-06-30,54.37,$2.58,21.07
2016-03-31,51.29,$2.64,19.43
2015-12-31,45.73,$2.20,20.75
2015-09-30,43.31,$1.95,22.24
2015-06-30,41.42,$2.01,20.63
2015-03-31,39.7,$2.11,18.85
2014-12-31,35.49,$2.01,17.67
2014-09-30,32.32,$2.00,16.15
2014-06-30,30.16,$1.80,16.74
2014-03-31,28.35,$1.63,17.34
2013-12-31,29.53,$1.51,19.57
2013-09-30,25.26,$1.39,18.16
2013-06-30,21.85,$1.18,18.53
2013-03-31,21.97,$1.14,19.25
2012-12-31,19.76,$1.15,17.17
2012-09-30,18.51,$1.09,16.92
2012-06-30,18.06,$1.27,14.25
2012-03-31,17.35,$1.24,14.01
2011-12-31,14.69,$1.31,11.22
2011-09-30,12.69,$1.36,9.32
2011-06-30,15.66,$1.27,12.33
2011-03-31,15.68,$1.32,11.88
2010-12-31,14.64,$1.29,11.35
2010-09-30,13.46,$1.13,11.88
2010-06-30,11.42,$1.14,10.01
2010-03-31,12.69,$1.11,11.48
2009-12-31,12.12,$1.05,11.55
