PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,128.59,,18.87
2024-03-31,144.2,$6.82,21.16
2023-12-31,148.15,$8.00,18.52
2023-09-30,127.94,$6.72,19.05
2023-06-30,145.49,$5.16,28.19
2023-03-31,130.46,$4.31,30.26
2022-12-31,122.22,$2.37,51.61
2022-09-30,107.01,$2.00,53.48
2022-06-30,110.0,$2.15,51.27
2022-03-31,125.51,$3.51,35.74
2021-12-31,164.48,$5.17,31.81
2021-09-30,135.91,$7.19,18.9
2021-06-30,160.76,$8.54,18.83
2021-03-31,141.86,$8.07,17.58
2020-12-31,135.62,$7.68,17.67
2020-09-30,114.37,$6.79,16.85
2020-06-30,98.89,$6.50,15.21
2020-03-31,77.52,$1.87,41.44
2019-12-31,123.25,$5.19,23.76
2019-09-30,108.99,$4.34,25.13
2019-06-30,106.86,$2.67,40.03
2018-12-31,92.8,$4.30,21.57
2018-09-30,98.63,$3.30,29.88
2018-06-30,93.34,$3.54,26.38
2018-03-31,100.0,$3.69,27.11
2017-12-31,104.27,$4.69,22.25
2017-09-30,96.61,$4.81,20.09
2017-06-30,97.35,$5.39,18.06
2017-03-31,92.68,$3.39,27.34
2016-12-31,83.25,$3.63,22.93
2016-09-30,90.43,$4.72,19.16
2016-06-30,90.77,$4.71,19.27
2016-03-31,96.81,$7.21,13.43
2015-12-31,85.48,$5.35,15.96
2015-09-30,75.59,$3.47,21.8
2015-06-30,98.56,$2.93,33.61
2015-03-31,96.73,$1.42,68.28
2014-12-31,98.85,$3.45,28.67
2014-09-30,83.86,$3.54,23.7
2014-06-30,89.28,$3.88,22.99
2014-03-31,81.91,$5.20,15.76
2013-12-31,80.04,$4.47,17.91
2013-09-30,70.26,$5.44,12.91
2013-06-30,61.35,$4.82,12.74
2013-03-31,55.9,$4.28,13.06
2012-12-31,56.24,$4.70,11.97
2012-09-30,47.49,$4.66,10.2
2012-06-30,43.65,$5.19,8.4
2012-03-31,39.19,$3.55,11.03
2011-12-31,33.94,$4.67,7.26
2011-09-30,28.54,$2.23,12.79
2019-03-31,102.91,$1.36,75.92
2011-06-30,36.38,$2.70,13.5
2011-03-31,37.92,$2.79,13.58
2010-12-31,33.27,$3.12,10.66
2010-09-30,28.61,$3.29,8.7
2010-06-30,23.56,$4.26,5.53
2010-03-31,25.29,$4.24,5.97
2009-12-31,22.44,$3.47,6.47
