Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,10.15,,8.22
2024-03-31,11.71,$1.23,9.48
2023-12-31,14.65,$0.23,64.97
2023-09-30,12.74,$-0.64,0.0
2023-06-30,15.66,$-1.72,0.0
2023-03-31,21.89,$-1.43,0.0
2022-12-31,16.36,$-0.21,0.0
2022-09-30,18.23,$-1.12,0.0
2022-06-30,23.37,$-0.91,0.0
2022-03-31,35.47,$-1.19,0.0
2021-12-31,28.12,$0.91,30.75
2021-09-30,36.52,$1.56,23.42
2021-06-30,41.53,$4.03,10.3
2021-03-31,41.2,$5.32,7.74
2020-12-31,33.95,$3.19,10.65
2020-09-30,25.35,$2.91,8.7
2020-06-30,20.94,$1.39,15.05
2020-03-31,12.45,$0.53,23.38
2019-12-31,36.75,$1.43,25.62
2019-09-30,35.15,$4.50,7.81
2019-06-30,43.27,$4.14,10.44
2019-03-31,41.06,$4.64,8.85
2018-12-31,37.63,$5.02,7.49
2018-09-30,49.27,$3.92,12.58
2018-06-30,48.06,$3.67,13.09
2018-03-31,43.78,$3.34,13.12
2017-12-31,50.09,$3.22,15.56
2017-09-30,49.09,$2.80,17.53
2017-06-30,53.82,$2.85,18.9
2017-03-31,58.36,$2.85,20.51
2016-12-31,53.39,$3.32,16.06
2016-09-30,45.8,$4.11,11.15
2016-06-30,45.4,$3.45,13.17
2016-03-31,45.81,$3.85,11.89
2015-12-31,39.08,$2.50,15.63
2015-09-30,32.98,$2.70,12.2
2015-06-30,45.72,$2.65,17.25
2015-03-31,49.82,$1.96,25.45
2014-12-31,45.36,$1.96,23.2
2014-09-30,43.73,$1.03,42.35
2014-06-30,50.66,$2.04,24.81
2014-03-31,50.29,$2.58,19.47
2013-12-31,51.77,$2.66,19.45
2013-09-30,44.71,$2.36,18.94
2013-06-30,39.53,$2.25,17.57
2013-03-31,37.67,$2.40,15.69
2012-12-31,30.62,$2.45,12.49
2012-09-30,29.14,$1.99,14.65
2012-06-30,26.2,$1.80,14.56
2012-03-31,27.02,$1.89,14.27
2011-12-31,21.56,$2.21,9.76
2011-09-30,16.13,$2.36,6.82
2011-06-30,22.45,$2.66,8.44
2011-03-31,19.66,$2.39,8.23
2010-12-31,14.92,$2.13,6.99
2010-09-30,12.39,$2.47,5.02
2010-06-30,10.07,$2.28,4.42
2010-03-31,10.81,$2.11,5.12
2009-12-31,10.86,$0.99,10.96
