General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,47.72,,2.81
2024-03-31,45.35,$16.97,2.67
2023-12-31,35.82,$16.80,2.13
2023-09-30,32.78,$18.65,1.76
2023-06-30,38.24,$17.83,2.14
2023-03-31,36.27,$2.23,16.27
2022-12-31,33.19,$11.70,2.84
2022-09-30,31.59,$-0.99,0.0
2022-06-30,31.19,$0.69,45.22
2021-12-31,57.59,$15.04,3.83
2021-09-30,51.77,$19.65,2.63
2021-06-30,58.12,$21.25,2.74
2021-03-31,56.44,$20.70,2.73
2020-12-31,40.9,$19.42,2.11
2022-03-31,42.96,$4.92,8.73
2020-09-30,29.06,$7.46,3.9
2020-06-30,24.85,$10.23,2.43
2020-03-31,20.41,$16.11,1.27
2019-12-31,35.5,$14.41,2.46
2019-09-30,35.97,$16.18,2.22
2019-06-30,36.61,$13.12,2.79
2019-03-31,34.88,$12.41,2.81
2018-12-31,31.14,$12.13,2.57
2018-09-30,31.01,$12.00,2.58
2018-06-30,35.89,$10.95,3.28
2018-03-31,32.82,$9.90,3.32
2017-12-31,36.65,$10.42,3.52
2017-09-30,35.78,$7.53,4.75
2017-06-30,30.64,$8.93,3.43
2017-03-31,30.68,$9.29,3.3
2016-12-31,29.92,$6.86,4.36
2016-09-30,26.99,$6.39,4.22
2016-06-30,23.76,$4.03,5.9
2016-03-31,26.05,$2.95,8.83
2015-12-31,27.84,$3.69,7.55
2015-09-30,24.33,$3.57,6.81
2015-06-30,26.69,$2.28,11.73
2015-03-31,29.72,$1.17,25.37
2014-12-31,27.45,$2.08,13.22
2014-09-30,24.89,$1.83,13.57
2014-06-30,28.03,$3.31,8.46
2014-03-31,26.36,$3.89,6.77
2013-12-31,31.03,$3.02,10.27
2013-09-30,27.31,$1.47,18.54
2013-06-30,25.29,$1.21,20.91
2013-03-31,21.12,$0.47,44.73
2012-12-31,21.89,$1.51,14.45
2012-09-30,17.27,$1.87,9.24
2012-06-30,14.97,$1.25,11.97
2012-03-31,19.48,$-0.27,0.0
2011-12-31,15.39,$2.08,7.38
2011-09-30,15.32,$1.58,9.71
