Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,74.61,,0.0
2024-03-31,73.85,$-3.07,0.0
2023-12-31,70.1,$-4.02,0.0
2023-09-30,71.05,$-4.88,0.0
2023-06-30,77.74,$-4.95,0.0
2023-03-31,74.8,$-4.54,0.0
2022-12-31,70.95,$-2.90,0.0
2022-09-30,59.43,$-3.27,0.0
2022-06-30,66.59,$-3.15,0.0
2022-03-31,70.29,$-3.39,0.0
2021-12-31,62.76,$-4.49,0.0
2021-09-30,63.52,$-3.70,0.0
2021-06-30,71.24,$-3.16,0.0
2021-03-31,70.02,$-2.57,0.0
2020-12-31,68.06,$-2.64,0.0
2020-09-30,62.83,$-2.95,0.0
2020-06-30,61.19,$-2.34,0.0
2020-03-31,62.61,$-2.12,0.0
2019-12-31,73.71,$-1.45,0.0
2019-09-30,78.9,$0.48,165.23
2019-06-30,75.86,$1.91,39.66
2019-03-31,76.47,$2.08,36.77
2018-12-31,67.6,$1.13,60.06
2018-09-30,62.27,$0.42,146.99
2018-06-30,62.81,$-1.30,0.0
2018-03-31,61.68,$-2.22,0.0
2017-12-31,65.27,$-2.38,0.0
2017-09-30,64.29,$-1.85,0.0
2017-06-30,64.26,$-2.60,0.0
2017-03-31,62.44,$-1.50,0.0
2016-12-31,57.94,$-1.68,0.0
2016-09-30,55.93,$-1.98,0.0
2016-06-30,59.19,$-1.06,0.0
2016-03-31,54.34,$-0.69,0.0
2015-12-31,46.23,$0.58,79.6
2015-09-30,45.54,$0.08,583.04
2015-06-30,40.0,$0.22,179.86
2015-03-31,44.39,$0.72,61.52
2014-12-31,47.17,$1.88,25.06
2014-09-30,37.37,$1.08,34.75
2014-06-30,39.15,$1.52,25.81
2014-03-31,36.63,$1.65,22.14
2013-12-31,35.08,$1.61,21.83
2013-09-30,35.92,$3.31,10.86
2013-06-30,36.07,$3.35,10.77
2013-03-31,37.31,$4.42,8.44
2012-12-31,32.52,$3.00,10.85
2012-09-30,33.34,$2.40,13.88
2012-06-30,32.36,$2.44,13.28
2012-03-31,29.63,$0.96,30.91
2011-12-31,29.48,$2.54,11.59
2011-09-30,25.98,$2.79,9.3
2011-06-30,26.64,$2.47,10.77
2011-03-31,25.26,$2.99,8.45
2010-12-31,24.16,$0.33,74.3
2010-09-30,23.75,$1.64,14.52
2010-06-30,20.64,$3.57,5.77
2010-03-31,21.13,$3.70,5.71
2009-12-31,20.19,$3.52,5.74
